column_name,category,short_description,detailed_description,data_type,example_values,max_length,median_length
pmid,Copied,PubMed ID,"Unique identifier from PubMed database, extracted from <article-id pub-id-type=""pmid"">",object,"['39152694', '39152698']",8,8
pmcid_pmc,Copied,PubMed Central ID,"PMC identifier extracted from <article-id pub-id-type=""pmc"">",object,"['PMC11529060', 'PMC11529089']",11,10
pmcid_uid,Copied,PMC UID,Additional PMC identifier field (often empty),object,"['', '']",0,0
doi,Copied,Digital Object Identifier,"DOI extracted from <article-id pub-id-type=""doi"">",object,"['10.1177/10406387241269043', '10.1177/10406387241267864']",53,25
filename,Copied,Source filename,Path to the original XML file that was processed,object,"['/in/PMC11529060.xml', '/in/PMC11529089.xml']",19,18
journal,Copied,Journal name,Full journal name from <journal-title>,object,"['Journal of Veterinary Diagnostic Investigation : Official Publication of the American Association of Veterinary Laboratory Diagnosticians, Inc', 'Journal of Veterinary Diagnostic Investigation : Official Publication of the American Association of Veterinary Laboratory Diagnosticians, Inc']",143,23
publisher,Copied,Publisher name,Publisher information from <publisher-name> and <publisher-loc>,object,"['SAGE Publications; Sage CA: Los Angeles, CA', 'SAGE Publications; Sage CA: Los Angeles, CA']",137,22
affiliation_institution,Copied,Author affiliation institution,Institution names from author affiliations in <aff>,object,"['', '']",9955,58
affiliation_country,Copied,Author affiliation country,Country information from author affiliations,object,"['', '']",506,0
year_epub,Copied,Electronic publication year,"Year from <pub-date pub-type=""epub"">",object,"['2024', '2024']",26,4
year_ppub,Copied,Print publication year,"Year from <pub-date pub-type=""ppub"">",object,"['2024', '2024']",4,0
is_coi_pred,Sophisticated,COI section predicted/found,Boolean indicating if a conflict of interest section was identified,bool,"[True, True]",5,5
coi_text,Copied,COI statement text,"Full text of conflict of interest statement from <fn fn-type=""COI-statement"">",object,"['The authors declared no potential conflicts of interest with respect to the research, authorship, and/or publication of this article.', 'The authors declared no potential conflicts of interest with respect to the research, authorship, and/or publication of this article.']",21957,82
is_coi_pmc_fn,Sophisticated,COI in PMC footnote,Boolean indicating if COI statement found in footnote section,bool,"[True, True]",5,5
is_coi_pmc_title,Sophisticated,COI in section title,"Indicates if ""conflict of interest"" appears in a section title",object,"[True, True]",5,4
is_relevant_coi,Sophisticated,COI relevance detected,Boolean indicating if COI section contains relevant disclosure information,bool,"[True, True]",5,5
is_relevant_coi_hi,Sophisticated,High-confidence relevant COI,High confidence that COI statement is substantive/relevant,bool,"[True, True]",5,5
is_relevant_coi_lo,Sophisticated,Low-confidence relevant COI,Low confidence relevance indicator,object,"[False, False]",5,5
is_explicit_coi,Sophisticated,Explicit COI declared,"Boolean indicating if explicit conflicts were declared (vs. ""no conflicts"")",object,,5,5
coi_1,Sophisticated,COI pattern match 1,Text match for general conflict of interest patterns,object,,5,5
coi_2,Sophisticated,COI pattern match 2,Text match for conflict of interest patterns (variant 2),object,,5,5
coi_disclosure_1,Sophisticated,COI disclosure pattern,Matches phrases about conflict disclosure,object,,5,5
commercial_1,Sophisticated,Commercial relationship mention,Matches phrases indicating commercial relationships,object,,5,5
benefit_1,Sophisticated,Financial benefit mention,Matches phrases about financial benefits,object,,5,5
consultant_1,Sophisticated,Consultant role mention,Matches phrases indicating consultant relationships,object,,5,5
grants_1,Sophisticated,Grants mention,Matches phrases about grants or research funding,object,,5,5
brief_1,Sophisticated,Brief financial relationship,Matches phrases about brief/limited financial relationships,object,,5,5
fees_1,Sophisticated,Fees mention,Matches phrases about fees or payments,object,,5,5
consults_1,Sophisticated,Consultation mention,Matches phrases about consultation services,object,,5,5
connect_1,Sophisticated,Connection mention 1,Matches phrases about connections to entities,object,,5,5
connect_2,Sophisticated,Connection mention 2,Matches phrases about connections (variant 2),object,,5,5
commercial_ack_1,Sophisticated,Commercial acknowledgment,Matches commercial relationship acknowledgments,object,,5,5
rights_1,Sophisticated,Rights mention,Matches phrases about ownership rights or intellectual property,object,,5,5
founder_1,Sophisticated,Founder role mention,Matches phrases indicating founder status,object,,5,5
advisor_1,Sophisticated,Advisor role mention,Matches phrases indicating advisory board membership,object,,5,5
paid_1,Sophisticated,Payment mention,Matches phrases about payments received,object,,5,5
board_1,Sophisticated,Board membership mention,Matches phrases about board membership,object,,5,5
no_coi_1,Sophisticated,No COI declaration,Matches phrases explicitly declaring no conflicts,object,,5,5
no_funder_role_1,Sophisticated,No funder role statement,Matches phrases stating funders had no role in research,object,,5,5
is_fund_pred,Sophisticated,Funding section predicted,Boolean indicating if funding section was identified,bool,"[True, True]",5,5
fund_text,Copied,Funding statement text,Full text of funding statement,object,"['Funding:  Our project was funded by the Canadian Beef Cattle Research Council (BCRC).', 'Funding:  The Townsend Equine Health Research Fund (TEHRF) provided funding for our study (355820).']",11435,149
fund_pmc_institute,Copied,PMC funding institute,Funding institution names from <funding-group> in structured format,object,"['Beef Cattle Research Council', 'Townsend Equine Health Research Fun']",3680,0
fund_pmc_source,Copied,PMC funding source,Complete funding source information from structured XML metadata,object,"['Beef Cattle Research Councilhttps://doi.org/10.13039/501100005019', 'Townsend Equine Health Research Fun']",4733,0
fund_pmc_anysource,Copied,PMC any funding source,Any funding source mentioned in PMC metadata,object,"['', '']",827,0
is_fund_pmc_group,Sophisticated,PMC funding group exists,Boolean indicating presence of <funding-group> element,bool,"[True, True]",5,5
is_fund_pmc_title,Sophisticated,Funding in section title,"Boolean indicating if ""funding"" appears in section title",object,"[True, True]",5,5
is_fund_pmc_anysource,Sophisticated,Any PMC funding source exists,Boolean indicating any funding source in PMC structure,object,"[False, False]",5,5
is_relevant_fund,Sophisticated,Relevant funding detected,Boolean indicating if funding section contains relevant information,object,"[True, True]",5,4
is_explicit_fund,Sophisticated,Explicit funding declared,Boolean indicating if explicit funding was declared,object,"[True, True]",5,4
support_1,Sophisticated,Support mention 1,Matches phrases about financial support,object,"[False, False]",5,5
support_3,Sophisticated,Support mention 3,Matches support phrases (variant 3),object,"[False, False]",5,5
support_4,Sophisticated,Support mention 4,Matches support phrases (variant 4),object,"[True, False]",5,5
support_5,Sophisticated,Support mention 5,Matches support phrases (variant 5),object,"[False, False]",5,5
support_6,Sophisticated,Support mention 6,Matches support phrases (variant 6),object,"[False, False]",5,5
support_7,Sophisticated,Support mention 7,Matches support phrases (variant 7),object,"[False, False]",5,5
support_8,Sophisticated,Support mention 8,Matches support phrases (variant 8),object,"[False, False]",5,5
support_9,Sophisticated,Support mention 9,Matches support phrases (variant 9),object,"[False, False]",5,5
support_10,Sophisticated,Support mention 10,Matches support phrases (variant 10),object,"[False, False]",5,5
developed_1,Sophisticated,Development mention,Matches phrases about development or creation,object,"[False, False]",5,5
received_1,Sophisticated,Received funding mention 1,Matches phrases about receiving funding,object,"[False, False]",5,5
received_2,Sophisticated,Received funding mention 2,Matches received funding phrases (variant 2),object,"[False, False]",5,5
