funder,open_data_count,num_variants,variants
National Institutes of Health,46774,3,NIH; National Institute of Health; National Institutes of Health
National Natural Science Foundation of China,41598,4,NNSFC; NSFC; National Natural Science Foundation; National Natural Science Foundation of China
National Science Foundation,23242,3,NSF; National Science Foundation; US National Science Foundation
European Commission,19995,4,EC; EU; European Commission; European Union
Deutsche Forschungsgemeinschaft,12585,3,DFG; Deutsche Forschungsgemeinschaft; German Research Foundation
Wellcome Trust,11757,3,The Wellcome Trust; Wellcome; Wellcome Trust
Medical Research Council,10870,3,MRC; Medical Research Council; UK Medical Research Council
European Research Council,9965,2,ERC; European Research Council
National Cancer Institute,7394,2,NCI; National Cancer Institute
Japan Society for the Promotion of Science,7322,3,JSPS; Japan Society for Promotion of Science; Japan Society for the Promotion of Science
National Institute of General Medical Sciences,6411,2,NIGMS; National Institute of General Medical Sciences
National Institute of Allergy and Infectious Diseases,6306,2,NIAID; National Institute of Allergy and Infectious Diseases
Agence Nationale de la Recherche,6155,3,ANR; Agence Nationale de la Recherche; French National Research Agency
Biotechnology and Biological Sciences Research Council,6106,2,BBSRC; Biotechnology and Biological Sciences Research Council
Korea National Research Foundation,4994,3,Korea National Research Foundation; NRF; National Research Foundation of Korea
Conselho Nacional de Desenvolvimento Científico e Tecnológico,4927,2,CNPq; Conselho Nacional de Desenvolvimento Científico e Tecnológico
Swiss National Science Foundation,4352,4,SNF; SNSF; Schweizerischer Nationalfonds; Swiss National Science Foundation
Swedish Research Council,4166,3,Swedish Research Council; VR; Vetenskapsrådet
Austrian Science Fund,3742,3,Austrian Science Fund; FWF; Fonds zur Förderung der wissenschaftlichen Forschung
Canadian Institutes of Health Research,3724,3,CIHR; Canadian Institutes for Health Research; Canadian Institutes of Health Research
Howard Hughes Medical Institute,3392,3,HHMI; Howard Hughes; Howard Hughes Medical Institute
National Health and Medical Research Council,3128,3,NHMRC; NHMRC Australia; National Health and Medical Research Council
Fundação de Amparo à Pesquisa do Estado de São Paulo,2795,3,FAPESP; Fundação de Amparo à Pesquisa do Estado de São Paulo; Sao Paulo Research Foundation
Cancer Research UK,2580,3,CRUK; Cancer Research UK; Cancer Research United Kingdom
Netherlands Organisation for Scientific Research,2475,3,Dutch Research Council; NWO; Netherlands Organisation for Scientific Research
Bill and Melinda Gates Foundation,2350,4,BMGF; Bill & Melinda Gates Foundation; Bill and Melinda Gates Foundation; Gates Foundation
Japan Agency for Medical Research and Development,2185,2,AMED; Japan Agency for Medical Research and Development
National Institute of Diabetes and Digestive and Kidney Diseases,2040,2,NIDDK; National Institute of Diabetes and Digestive and Kidney Diseases
National Institute on Aging,1947,2,NIA; National Institute on Aging
National Institute of Neurological Disorders and Stroke,1930,2,NINDS; National Institute of Neurological Disorders and Stroke
Engineering and Physical Sciences Research Council,1691,2,EPSRC; Engineering and Physical Sciences Research Council
National Institute of Mental Health,1598,2,NIMH; National Institute of Mental Health
National Heart Lung and Blood Institute,1525,2,NHLBI; National Heart Lung and Blood Institute
National Institute of Child Health and Human Development,1490,2,NICHD; National Institute of Child Health and Human Development
Natural Environment Research Council,1415,2,NERC; Natural Environment Research Council
National Center for Advancing Translational Sciences,1405,2,NCATS; National Center for Advancing Translational Sciences
National Institute of Environmental Health Sciences,1136,2,NIEHS; National Institute of Environmental Health Sciences
National Institute on Drug Abuse,756,2,NIDA; National Institute on Drug Abuse
National Eye Institute,727,2,NEI; National Eye Institute
National Institute of Arthritis and Musculoskeletal and Skin Diseases,673,2,NIAMS; National Institute of Arthritis and Musculoskeletal and Skin Diseases
Economic and Social Research Council,652,2,ESRC; Economic and Social Research Council
National Institute on Alcohol Abuse and Alcoholism,352,2,NIAAA; National Institute on Alcohol Abuse and Alcoholism
Science and Technology Facilities Council,127,2,STFC; Science and Technology Facilities Council
