,2024,2025,2023,2021,2022,2017,2020,2019,2013,2018,2000,2014,2007,2015,2016,2010,2009,2003,2004,2005,2008,2006,2011,2012,1998,2001,2002,1999,1988,1987,1960,1959,1961,1976,1977,1962,1963,1964,1994,1956
HHMI (USA),1236,776,1097,766,954,537,707,593,536,591,0,530,164,543,512,312,265,4,57,74,201,118,382,428,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellcome Trust (UK),6194,3460,6366,7196,6906,4837,6286,5507,2907,5179,0,3290,502,3796,4329,1451,1125,13,53,140,783,290,1652,2233,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
DFG (Germany),7704,4892,8048,9315,9129,4214,8017,5924,2191,4791,0,2557,223,2952,3577,750,482,6,17,65,370,128,1133,1679,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGF (USA),1590,757,1490,1635,1539,775,1377,1126,295,960,0,295,12,391,546,142,60,0,0,4,18,3,161,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIH (USA),46824,29848,43823,38792,40824,20591,31962,25638,13650,23039,2,15025,2402,16564,18673,6705,4812,77,361,835,3380,1538,8458,11119,1,34,32,1,6,0,0,0,0,0,0,0,0,0,0,0
AMED (Japan),2497,1579,2558,2720,2741,1128,2244,1677,4,1403,0,3,0,179,739,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC (Europe),14462,9329,13929,14370,14983,8035,12502,10559,3660,8996,1,4391,451,5509,6984,1367,1009,6,47,103,746,258,1925,2676,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0
MRC (UK),9900,6112,10598,11200,11552,6955,9504,8234,3918,7704,2,4580,546,5219,6186,1568,1173,32,85,244,868,358,2032,2834,1,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0
CIHR (Canada),4408,2867,4254,4380,4438,2470,3361,2885,1793,2587,0,1900,275,2012,2285,744,543,8,48,138,389,205,960,1444,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
NSFC (China),64233,45032,60205,52552,73088,23837,42129,34409,7166,27496,0,10028,146,12925,19317,1240,819,1,2,14,514,68,2150,4092,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
