funder,total_pubs,data_sharing_pubs,data_sharing_pct
National Institutes of Health,426267,57220,13.42
National Natural Science Foundation of China,420824,38274,9.1
European Commission,196678,25542,12.99
UK Research and Innovation,179659,21694,12.08
National Science Foundation,141132,19368,13.72
Deutsche Forschungsgemeinschaft,82116,10660,12.98
Wellcome Trust,68683,9873,14.37
European Regional Development Fund,56374,6396,11.35
Japan Society for the Promotion of Science,66236,6258,9.45
National Key Research and Development Program,48760,5732,11.76
National Research Foundation of Korea,84068,5625,6.69
Agence Nationale de la Recherche,30382,5304,17.46
Ministry of Science and Technology,57698,5186,8.99
United States Department of Agriculture,20060,4328,21.58
Department of Energy,22368,4011,17.93
Natural Sciences and Engineering Research Council of Canada,28642,3895,13.6
Australian Research Council,26111,3511,13.45
Ministerio de Economia y Competitividad,29285,3490,11.92
Swedish Research Council,29409,3486,11.85
Swiss National Science Foundation,24562,3431,13.97
"Ministry of Education, Culture, Sports, Science and Technology",28406,3270,11.51
Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior,29668,3123,10.53
Bundesministerium fur Bildung und Forschung,26596,3091,11.62
Canadian Institutes of Health Research,35617,2908,8.16
National Institute for Health Research,47528,2865,6.03
National Health and Medical Research Council,30425,2667,8.77
Howard Hughes Medical Institute,10189,2503,24.57
Fundacao de Amparo a Pesquisa do Estado de Sao Paulo,19810,2335,11.79
China Postdoctoral Science Foundation,24691,2328,9.43
Centre National de la Recherche Scientifique,12729,2207,17.34
Netherlands Organisation for Scientific Research,17223,2149,12.48
Bill and Melinda Gates Foundation,22670,2046,9.03
Austrian Science Fund,15381,2014,13.09
Department of Biotechnology,10188,1990,19.53
Italian Ministry,19005,1947,10.24
Royal Society,12652,1929,15.25
Japan Agency for Medical Research and Development,15385,1872,12.17
Fundacao para a Ciencia e a Tecnologia,17108,1844,10.78
Max Planck Society,10143,1760,17.35
China Scholarship Council,15005,1708,11.38
Japan Science and Technology Agency,13996,1570,11.22
National Science Centre,14256,1528,10.72
Russian Science Foundation,11734,1506,12.83
Research Foundation Flanders,9776,1344,13.75
American Heart Association,11428,1204,10.54
Czech Science Foundation,5897,1103,18.7
Associazione Italiana per la Ricerca sul Cancro,7641,1080,14.13
