,2024,2025,2023,2021,2022,2017,2020,2019,2013,2018,2000,2014,2007,2015,2016,2010,2009,2003,2004,2005,2008,2006,2011,2012,1998,2001,2002,1999,1988,1987,1960,1959,1961,1976,1977,1962,1963,1964,1994,1956
HHMI (USA),744,518,646,416,581,212,375,293,142,265,0,181,36,190,187,63,54,1,18,20,41,27,85,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WT (UK),2522,1448,2390,2099,2227,1104,1652,1490,412,1250,0,575,55,760,894,221,156,1,9,14,89,41,241,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFG (Germany),2835,1978,2562,2271,2454,826,1842,1387,237,1075,0,430,33,562,690,90,59,1,0,3,37,11,130,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLM,199,146,195,159,180,64,161,101,24,78,0,40,3,41,66,19,17,0,1,2,14,5,24,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NINDS,933,703,738,440,567,134,328,267,38,212,0,60,3,78,150,17,13,0,0,2,8,4,18,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIH (USA),21774,15016,19241,14144,15744,6136,11219,8578,2402,7217,0,3028,405,4071,5100,1173,852,5,48,109,610,249,1435,1780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIEHS,311,226,287,223,266,106,181,162,58,146,0,58,12,78,116,13,17,0,1,2,17,10,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGF (USA),510,262,391,407,434,128,330,231,19,213,0,38,0,65,88,9,3,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEI,273,185,253,184,211,95,141,102,14,115,0,24,0,38,72,9,7,0,1,0,5,2,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIDDK,612,462,637,407,447,177,338,266,49,224,0,63,7,84,146,23,12,0,0,3,6,3,22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMED (Japan),747,520,681,603,680,213,480,367,0,263,0,0,0,34,124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIA,2159,1423,1780,1283,1539,509,1000,775,176,627,0,211,23,275,421,90,57,0,2,3,48,11,95,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC (EU),4420,2965,3754,3304,3736,1550,2672,2366,504,1870,0,649,53,990,1248,167,116,0,2,9,82,33,242,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NICHD,548,404,492,371,420,146,307,243,37,186,0,56,5,74,128,19,9,0,1,1,4,3,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIBIB,246,167,181,120,158,50,72,67,9,53,0,10,1,25,36,4,2,0,0,1,2,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIMH,877,581,675,497,563,169,395,248,35,187,0,50,3,102,134,13,8,0,1,2,4,4,19,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIAMS,214,142,203,147,161,59,112,88,16,91,0,16,2,31,53,8,2,0,0,0,3,1,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCCIH,58,43,49,30,40,7,22,20,0,8,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIDCR,170,101,175,139,148,57,91,72,21,76,0,28,2,34,34,8,9,0,0,1,2,2,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIHR (Canada),1014,771,939,710,863,354,572,474,165,367,0,190,25,269,307,82,57,0,4,13,33,15,86,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIDA,377,255,327,230,283,62,165,135,11,100,0,27,2,60,73,10,6,0,0,0,4,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSFC (China),13112,10368,10732,8009,11177,3071,5797,4748,797,3635,0,1130,12,1850,2462,128,61,0,0,2,34,5,239,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIAAA,150,84,115,82,93,35,52,35,9,34,0,15,2,26,38,2,1,0,0,1,4,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIMHD,104,74,109,89,89,30,59,47,5,29,0,15,0,18,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NINR,31,21,38,33,34,10,20,12,2,10,0,4,0,4,7,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
