,2024,2025,2023,2021,2022,2017,2020,2019,2013,2018,2000,2014,2007,2015,2016,2010,2009,2003,2004,2005,2008,2006,2011,2012,1998,2001,2002,1999,1988,1987,1960,1959,1961,1976,1977,1962,1963,1964,1994,1956
HHMI (USA),1236,776,1097,766,954,537,707,593,536,591,0,530,164,543,512,312,265,4,57,74,201,118,382,428,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WT (UK),6194,3460,6366,7196,6906,4837,6286,5507,2907,5179,0,3290,502,3796,4329,1451,1125,13,53,140,783,290,1652,2233,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
DFG (Germany),7704,4892,8048,9315,9129,4214,8017,5924,2191,4791,0,2557,223,2952,3577,750,482,6,17,65,370,128,1133,1679,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NLM,519,364,497,450,488,220,400,301,149,265,0,169,71,192,198,134,120,1,14,27,113,77,174,186,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NINDS,2721,1870,2447,1936,2154,930,1647,1271,497,1126,0,524,67,572,856,202,136,1,11,24,91,49,248,372,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIH (USA),65472,41744,61268,54473,57079,28670,44835,36085,17722,32073,4,19689,3195,21865,25860,8804,6450,131,484,1122,4515,2057,11117,14412,1,40,42,2,7,0,0,0,0,1,0,0,0,0,0,0
NIEHS,983,632,988,917,952,490,715,629,407,544,0,426,73,464,512,161,130,3,16,22,114,55,287,346,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
BMGF (USA),1590,757,1490,1635,1539,775,1377,1126,295,960,0,295,12,391,546,142,60,0,0,4,18,3,161,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEI,901,545,890,842,881,424,675,476,210,492,0,269,40,233,391,112,81,0,5,11,72,15,133,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIDDK,2207,1370,2157,1814,1931,912,1448,1182,376,981,0,483,54,569,791,169,111,3,6,16,75,34,225,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMED (Japan),2497,1579,2558,2720,2741,1128,2244,1677,4,1403,0,3,0,179,739,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIA,6732,4437,6052,5373,5732,2335,4379,3264,1345,2815,0,1512,210,1589,2053,678,514,2,21,74,348,135,815,1119,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EC (EU),14462,9329,13929,14370,14983,8035,12502,10559,3660,8996,1,4391,451,5509,6984,1367,1009,6,47,103,746,258,1925,2676,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0
NICHD,1984,1341,1829,1709,1907,893,1435,1166,432,958,0,525,52,555,846,173,121,0,8,20,75,32,205,323,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NIBIB,828,556,706,586,639,275,509,389,148,345,0,145,14,179,214,52,30,0,1,4,23,12,69,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIMH,3099,1991,2803,2442,2645,1067,1899,1530,601,1278,0,639,70,732,951,192,147,7,8,33,79,32,212,432,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NIAMS,762,491,717,615,625,305,506,425,163,397,0,207,17,212,301,74,49,0,0,7,29,17,66,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCCIH,259,150,211,152,211,77,154,126,0,88,0,0,0,20,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIDCR,576,367,579,563,599,295,415,351,155,315,0,180,29,175,217,95,57,2,4,8,33,23,81,131,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIHR (Canada),4408,2867,4254,4380,4438,2470,3361,2885,1793,2587,0,1900,275,2012,2285,744,543,8,48,138,389,205,960,1444,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
NIDA,1579,1062,1521,1241,1536,545,976,837,298,702,0,366,48,426,503,123,90,0,6,26,60,40,145,266,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
NSFC (China),64233,45032,60205,52552,73088,23837,42129,34409,7166,27496,0,10028,146,12925,19317,1240,819,1,2,14,514,68,2150,4092,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
NIAAA,688,397,603,495,621,236,381,260,134,278,0,144,14,188,216,64,35,1,2,9,22,12,61,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIMHD,788,526,725,559,703,236,415,352,82,264,0,132,0,188,211,1,0,0,0,0,0,0,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NINR,342,203,313,249,304,92,199,127,52,99,0,45,2,53,74,20,5,0,2,2,3,4,18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
