acronym,name,count,in_top10,percentage
NCI,NCI,9,False,0.16129032258064516
NIGMS,NIGMS,7,False,0.12544802867383512
NIAID,NIAID,4,False,0.07168458781362007
NIA,NIA,3,False,0.053763440860215055
NIDDK,NIDDK,3,False,0.053763440860215055
NEI,NEI,2,False,0.035842293906810034
NIDCR,NIDCR,2,False,0.035842293906810034
NICHD,NICHD,2,False,0.035842293906810034
NINDS,NINDS,2,False,0.035842293906810034
NIAMS,NIAMS,2,False,0.035842293906810034
NIMHD,NIMHD,2,False,0.035842293906810034
NIMH,NIMH,2,False,0.035842293906810034
NIBIB,NIBIB,1,False,0.017921146953405017
NIEHS,NIEHS,1,False,0.017921146953405017
NINR,NINR,1,False,0.017921146953405017
NHGRI,NHGRI,1,False,0.017921146953405017
NHLBI,NHLBI,1,False,0.017921146953405017
