acronym,name,count,in_top10,percentage
NSFC,National Natural Science Foundation of China,95,True,1.7025089605734767
NIH,National Institutes of Health,37,True,0.6630824372759857
EC,European Commission,21,True,0.3763440860215054
DFG,German Research Foundation,18,True,0.3225806451612903
MRC,Medical Research Council,9,True,0.16129032258064516
NCI,NCI,9,False,0.16129032258064516
NIGMS,NIGMS,7,False,0.12544802867383512
WT,Wellcome Trust,6,True,0.10752688172043011
NIAID,NIAID,4,False,0.07168458781362007
AMED,Japan Agency for Medical Research and Development,4,True,0.07168458781362007
NIA,NIA,3,False,0.053763440860215055
NIDDK,NIDDK,3,False,0.053763440860215055
HHMI,Howard Hughes Medical Institute,3,True,0.053763440860215055
NEI,NEI,2,False,0.035842293906810034
NIDCR,NIDCR,2,False,0.035842293906810034
CIHR,Canadian Institutes of Health Research,2,True,0.035842293906810034
NICHD,NICHD,2,False,0.035842293906810034
NINDS,NINDS,2,False,0.035842293906810034
NIAMS,NIAMS,2,False,0.035842293906810034
NIMHD,NIMHD,2,False,0.035842293906810034
NIMH,NIMH,2,False,0.035842293906810034
BMGF,Bill & Melinda Gates Foundation,2,True,0.035842293906810034
NIBIB,NIBIB,1,False,0.017921146953405017
NIEHS,NIEHS,1,False,0.017921146953405017
NINR,NINR,1,False,0.017921146953405017
NHGRI,NHGRI,1,False,0.017921146953405017
NHLBI,NHLBI,1,False,0.017921146953405017
