country,count
China,36714
USA,28886
UK,12668
Germany,11519
France,5934
Canada,5170
Japan,4946
Australia,4663
Spain,4568
Italy,4355
Netherlands,4214
Switzerland,3543
Sweden,3053
South Korea,2906
India,2595
Brazil,2416
Denmark,2100
Austria,2010
Belgium,1987
Norway,1507
Poland,1356
Czech Republic,1331
Finland,1269
Israel,1198
Russia,1108
Mexico,1087
Portugal,1063
Saudi Arabia,980
South Africa,976
Taiwan,958
Singapore,883
Ireland,853
New Zealand,831
Thailand,798
Chile,752
Egypt,715
Pakistan,648
Iran,588
Hungary,586
Argentina,578
Greece,515
Colombia,504
Malaysia,472
Turkey,424
Vietnam,329
Kenya,305
Bangladesh,279
Hong Kong,268
Slovenia,261
Indonesia,251
Estonia,225
Nigeria,219
Croatia,218
Romania,214
United Arab Emirates,208
Slovakia,176
Philippines,163
Peru,159
Ecuador,153
Ethiopia,151
Serbia,146
Luxembourg,138
Qatar,132
Uruguay,129
Tunisia,125
Ghana,125
Iceland,125
Uganda,120
Lithuania,116
Ukraine,113
Morocco,106
Tanzania,96
Bulgaria,95
Costa Rica,95
Lebanon,87
Cameroon,86
Sri Lanka,77
Nepal,72
Panama,71
Iraq,70
Jordan,65
Latvia,60
Malawi,60
Kuwait,58
Georgia,56
Madagascar,53
Oman,50
Cambodia,50
Puerto Rico,48
Algeria,48
Kazakhstan,47
Cuba,43
Zambia,41
Venezuela,39
Mongolia,38
Sudan,38
