name,count,is_known
National Natural Science Foundation,52322,True
NIH,43412,True
National Institute,37200,True
National Science Foundation,18666,False
Natural Science Foundation,18376,True
Wellcome Trust,11776,True
Medical Research Council,9767,True
NSF,9126,True
European Research Council,8951,True
ANR,8046,False
DFG,7640,True
National Cancer Institute,7104,False
Japan Society,6620,False
National Research Foundation,6620,False
NCI,6185,True
HHS,6034,False
JSPS,5947,False
NRF,5774,False
ERC,5725,False
German Research Foundation,4964,True
Science Foundation,4950,True
Biological Sciences Research Council,4858,True
Engineering Research Council,4694,True
USDA,4687,False
NIAID,4476,True
BBSRC,4451,False
NSFC,4103,True
Swiss National Science Foundation,4001,False
MRC,4001,True
Research Council,3931,True
Swedish Research Council,3858,True
FEDER,3848,False
NIHR,3638,True
Spanish Ministry,3527,False
the Ministry,3495,False
MEXT,3432,False
Australian Research Council,3340,True
NIGMS,3251,True
DOE,3219,False
NSERC,3199,False
III,3126,False
European Commission,3053,True
National Center,3049,False
CAPES,2987,False
FCT,2977,False
European Regional Development Fund,2976,True
FAPESP,2873,False
Howard Hughes Medical Institute,2835,True
Melinda Gates Foundation,2624,True
Blood Institute,2577,False
NHMRC,2562,True
Italian Ministry,2551,False
Research Foundation,2537,True
Austrian Science Fund,2476,False
BMBF,2469,False
China Postdoctoral Science Foundation,2402,False
CARS,2376,False
Japan Agency,2260,True
NWO,2221,False
ARC,2157,True
CIHR,2148,True
MOST,2105,False
Russian Science Foundation,2102,False
AMED,2093,True
Royal Society,2020,False
DEB,2005,False
CNRS,1947,False
German Federal Ministry,1880,False
NHLBI,1859,True
CAS,1802,False
FWF,1712,False
FWO,1616,False
AEI,1602,False
American Heart Association,1599,False
ERDF,1577,False
DEAL,1577,False
National Science Centre,1572,False
grants from the National Natural Science Foundation,1558,False
National Human Genome Research Institute,1524,False
Technology Commission,1516,True
National Key Research and Development Program,1510,False
Research Institute,1499,False
China Scholarship Council,1484,True
DBT,1467,False
Innovation Fund,1454,False
JST,1390,False
NHS,1389,False
ICT,1373,False
SFB,1354,False
Max Planck Society,1344,False
NIFA,1342,False
Federal Ministry,1305,False
Czech Science Foundation,1263,True
MINECO,1263,True
IOS,1260,False
AIRC,1246,False
ISCIII,1240,False
NINDS,1224,True
CSIR,1210,False
Cancer Center,1189,False
Technology Agency,1179,True
EPSRC,1159,False
DST,1145,False
NIDDK,1145,True
American Cancer Society,1133,False
AIDS,1133,False
Israel Science Foundation,1123,False
SFRH,1107,False
French National Research Agency,1097,False
Novo Nordisk Foundation,1094,False
COVID,1093,False
DBI,1093,False
UKRI,1089,False
Cancer Institute,1082,False
LABX,1071,False
Special Fund,1051,True
MCB,1044,False
NASA,1028,False
European Social Fund,1027,True
National Key R&D Program,1025,False
Russian Foundation,1021,False
EMBL,1019,False
EMBO,1015,False
ARS,1013,False
Natural Environment Research Council,984,True
Canadian Institute,982,True
NHGRI,975,True
Applied Basic Research Foundation,972,False
NIA,962,True
National Council,961,True
NMR,954,False
Indian Council,943,True
FNRS,936,False
ERA,936,False
NERC,934,False
Physical Sciences Research Council,932,True
NIMH,930,True
Alice Wallenberg Foundation,914,False
National Nature Science Foundation,914,False
HHMI,895,True
Research Fund,893,False
MIUR,891,False
CRUK,882,False
MCIN,873,False
British Heart Foundation,867,False
the Department,843,False
COST,842,False
INSERM,837,False
LLC,835,True
CAMS,834,False
