ngram,n,count,keyword
science foundation,2,99743,foundation
foundation of,2,76998,foundation
the national,2,69632,national
natural science,2,67161,science
science foundation of,3,66449,foundation
natural science foundation,3,65078,foundation
funded by,2,53131,fund
foundation of china,3,51346,foundation
science and,2,48889,science
research council,2,45390,council
national natural,2,44317,national
national natural science,3,43839,science
institutes of,2,42708,institute
funding this,2,41960,fund
institute of,2,40854,institute
science and technology,3,40632,science
institutes of health,3,40050,institute
ministry of,2,36213,ministry
national institutes,2,34633,institute
national institutes of,3,34515,institute
was funded,2,33363,fund
research and,2,32818,research
national institute,2,32551,institute
funded by the,3,30873,fund
was funded by,3,30546,fund
this research,2,30180,research
of science,2,28916,science
national institute of,3,26239,institute
national science,2,26003,science
by the national,3,25776,national
the funders,2,25680,fund
research was,2,25532,research
funders had,2,25121,fund
funders had no,3,25047,fund
the funders had,3,24872,fund
this research was,3,22809,research
funding this work,3,22560,fund
research foundation,2,22048,foundation
national science foundation,3,19980,foundation
the national natural,3,19042,national
research and development,3,18460,research
medical research,2,18048,research
of science and,3,15258,science
the research,2,14818,research
national key,2,13547,national
from the national,3,12559,national
research program,2,12356,research
scientific research,2,11763,research
funding from,2,11600,fund
the national institutes,3,11441,institute
key research,2,11412,research
the ministry,2,11401,ministry
ministry of education,3,11393,ministry
national research,2,11289,research
research was supported,3,11170,research
the ministry of,3,11098,ministry
wellcome trust,2,11043,trust
council of,2,10579,council
foundation for,2,10554,foundation
ministry of science,3,10503,ministry
key research and,3,10491,research
medical research council,3,10296,council
institute for,2,10013,institute
cancer research,2,9849,research
research was funded,3,9755,fund
funding this research,3,9554,fund
nih national,2,9528,national
work was funded,3,9426,fund
medical sciences,2,9056,science
european research,2,8991,research
funding for,2,8886,fund
cancer institute,2,8723,institute
health research,2,8686,research
research fund,2,8445,fund
research institute,2,8300,institute
european research council,3,8170,council
the national institute,3,8094,institute
of the national,3,8036,national
funding from the,3,8006,fund
national key research,3,8004,research
funding this study,3,7892,fund
by national,2,7703,national
national cancer,2,7520,national
and research,2,7487,research
research and innovation,3,7455,research
research council of,3,7434,council
funding the,2,7179,fund
research grant,2,7060,research
of sciences,2,7017,science
institute of allergy,3,6984,institute
sciences research,2,6906,research
national cancer institute,3,6892,institute
promotion of science,3,6879,science
basic research,2,6792,research
the national science,3,6704,science
fund for,2,6687,fund
sciences and,2,6653,science
academy of sciences,3,6625,science
for research,2,6605,research
and the national,3,6572,national
national research foundation,3,6478,foundation
institute of general,3,6465,institute
research project,2,6203,research
general medical sciences,3,6167,science
nih national institute,3,6110,institute
the national key,3,6107,national
biological sciences,2,6104,science
china national,2,6076,national
research program of,3,6072,research
research foundation of,3,5964,foundation
sciences research council,3,5925,council
foundation grant,2,5881,foundation
fund of,2,5669,fund
study was funded,3,5660,fund
engineering research,2,5650,research
for scientific research,3,5552,research
of china national,3,5480,national
funds for,2,5456,fund
research center,2,5432,research
10 13039 501100001809national,3,5396,national
13039 501100001809national,2,5396,national
and engineering research,3,5388,research
501100001809national natural,2,5356,national
501100001809national natural science,3,5355,science
biological sciences research,3,5336,research
13039 501100001809national natural,3,5329,national
and biological sciences,3,5329,science
is funded,2,5329,fund
research funds,2,5266,fund
supported by national,3,5150,national
funding acquisition,2,4982,fund
health national,2,4863,national
is funded by,3,4856,fund
german research,2,4803,research
fundamental research,2,4792,fund
research fellowship,2,4790,research
engineering research council,3,4741,council
the natural science,3,4715,science
agency for,2,4678,agency
natural sciences,2,4667,science
of health national,3,4636,national
sciences and engineering,3,4574,science
foundation and,2,4533,foundation
13039 100000002national,2,4461,national
10 13039 100000002national,3,4461,national
13039 100000002national institutes,3,4423,institute
100000002national institutes,2,4423,institute
100000002national institutes of,3,4423,institute
for the research,3,4416,research
the wellcome trust,3,4361,trust
german research foundation,3,4346,foundation
council of canada,3,4312,council
by the ministry,3,4256,ministry
nationale de,2,4204,national
development fund,2,4177,fund
government of,2,4176,government
foundation the,2,4142,foundation
institute on,2,4139,institute
research funds for,3,4102,fund
the national research,3,4096,research
services nih national,3,4093,national
funded by a,3,4041,fund
the science,2,4023,science
funds for the,3,4009,fund
national key r,3,3996,national
ministry of health,3,3994,ministry
fundamental research funds,3,3965,fund
natural sciences and,3,3952,science
and medical research,3,3946,research
funding for open,3,3935,fund
national health,2,3922,national
foundation of korea,3,3917,foundation
nationale de la,3,3912,national
funds from,2,3873,fund
received funding,2,3867,fund
of health research,3,3825,research
research authorship,2,3812,research
research authorship and,3,3808,research
the research authorship,3,3807,research
2020 research,2,3771,research
agence nationale,2,3746,national
swiss national,2,3745,national
research centre,2,3732,research
science fund,2,3718,fund
horizon 2020 research,3,3716,research
2020 research and,3,3695,research
and national,2,3690,national
swedish research,2,3667,research
foundation of china10,3,3660,foundation
the funding,2,3617,fund
hhs nih national,3,3587,national
biomedical research,2,3558,research
science technology,2,3554,science
national institute on,3,3547,institute
received funding from,3,3532,fund
swedish research council,3,3469,council
swiss national science,3,3444,science
research system,2,3440,research
for medical research,3,3432,research
canadian institutes,2,3393,institute
research uk,2,3391,research
agence nationale de,3,3345,national
for science,2,3324,science
science foundation grant,3,3315,foundation
australian research,2,3245,research
science research,2,3226,research
access funding,2,3197,fund
of research,2,3197,research
open access funding,3,3195,fund
intramural research,2,3171,research
office of science,3,3150,science
national health and,3,3131,national
funding for this,3,3126,fund
from the ministry,3,3119,ministry
postdoctoral science,2,3107,science
national center,2,3069,national
spanish ministry,2,3059,ministry
canadian institutes of,3,3055,institute
technology research,2,3042,research
foundation nsf,2,3032,foundation
medical institute,2,3024,institute
science foundation nsf,3,3003,foundation
foundation 10,2,3002,foundation
australian research council,3,2998,council
foundation 10 13039,3,2990,foundation
foundation http,2,2987,foundation
spanish ministry of,3,2959,ministry
hughes medical institute,3,2941,institute
research in,2,2936,research
foundation10 13039,2,2927,foundation
institute of health,3,2893,institute
regional development fund,3,2889,fund
education and research,3,2882,research
the science and,3,2849,science
fundação de,2,2836,fund
funding information,2,2826,fund
for health research,3,2823,research
national center for,3,2815,national
funding was,2,2811,fund
sports science,2,2804,science
postdoctoral science foundation,3,2792,foundation
foundation to,2,2781,foundation
medical research and,3,2781,research
sports science and,3,2779,science
culture sports science,3,2769,science
agriculture research,2,2757,research
national institute for,3,2740,institute
gates foundation,2,2738,foundation
the european research,3,2718,research
european commission,2,2692,commission
institute nci,2,2679,institute
federal ministry,2,2679,ministry
cancer institute nci,3,2672,institute
melinda gates foundation,3,2660,foundation
science jsps,2,2651,science
by funding,2,2645,fund
of science jsps,3,2639,science
fundação de amparo,3,2630,fund
foundation http dx,3,2620,foundation
blood institute,2,2609,institute
funds from the,3,2604,fund
research grants,2,2598,research
and blood institute,3,2577,institute
for research and,3,2532,research
agency for medical,3,2500,agency
council for,2,2496,council
the institute,2,2486,institute
basic research program,3,2483,research
china postdoctoral science,3,2476,science
national heart,2,2471,national
agriculture research system,3,2463,research
institute of food,3,2453,institute
external funding,2,2426,fund
agricultural research,2,2421,research
innovation fund,2,2406,fund
funded in,2,2404,fund
cancer research uk,3,2379,research
by national institutes,3,2375,institute
austrian science,2,2369,science
a research,2,2366,research
federal ministry of,3,2341,ministry
research project of,3,2340,research
national heart lung,3,2336,national
institute on aging,3,2330,institute
funding open,2,2319,fund
funding open access,3,2312,fund
by funding from,3,2285,fund
institute for health,3,2284,institute
national de,2,2261,national
department of science,3,2255,science
the fundamental,2,2241,fund
research development,2,2240,research
china national science,3,2226,science
the swedish research,3,2223,research
for cancer research,3,2212,research
clinical research,2,2211,research
genome research,2,2203,research
the fundamental research,3,2199,fund
national laboratory,2,2195,national
foundation and the,3,2193,foundation
supported by funding,3,2189,fund
council erc,2,2184,council
research council erc,3,2176,council
research on,2,2168,research
for funding,2,2157,fund
commission of,2,2157,commission
foundation national,2,2156,foundation
funding to,2,2154,fund
china agriculture research,3,2153,research
ministry of agriculture,3,2149,ministry
institute of diabetes,3,2149,institute
japan agency,2,2131,agency
a national,2,2125,national
research received,2,2113,research
japan agency for,3,2108,agency
agricultural sciences,2,2102,science
provincial natural science,3,2082,science
this research received,3,2077,research
funding provided,2,2070,fund
biomedical research centre,3,2068,research
for science and,3,2056,science
italian ministry,2,2048,ministry
foundation of guangdong,3,2043,foundation
the funder,2,2038,fund
austrian science fund,3,2025,fund
council grant,2,2010,council
fundação para,2,2007,fund
s national,2,2003,national
national de la,3,1999,national
health national institutes,3,1996,institute
