name,count,is_known
National Science Foundation,18666,False
ANR,8046,False
National Cancer Institute,7104,False
Japan Society,6620,False
National Research Foundation,6620,False
HHS,6034,False
JSPS,5947,False
NRF,5774,False
ERC,5725,False
USDA,4687,False
BBSRC,4451,False
Swiss National Science Foundation,4001,False
FEDER,3848,False
Spanish Ministry,3527,False
the Ministry,3495,False
MEXT,3432,False
DOE,3219,False
NSERC,3199,False
III,3126,False
National Center,3049,False
CAPES,2987,False
FCT,2977,False
FAPESP,2873,False
Blood Institute,2577,False
Italian Ministry,2551,False
Austrian Science Fund,2476,False
BMBF,2469,False
China Postdoctoral Science Foundation,2402,False
CARS,2376,False
NWO,2221,False
MOST,2105,False
Russian Science Foundation,2102,False
Royal Society,2020,False
DEB,2005,False
CNRS,1947,False
German Federal Ministry,1880,False
CAS,1802,False
FWF,1712,False
FWO,1616,False
AEI,1602,False
American Heart Association,1599,False
ERDF,1577,False
DEAL,1577,False
National Science Centre,1572,False
grants from the National Natural Science Foundation,1558,False
National Human Genome Research Institute,1524,False
National Key Research and Development Program,1510,False
Research Institute,1499,False
DBT,1467,False
Innovation Fund,1454,False
JST,1390,False
NHS,1389,False
ICT,1373,False
SFB,1354,False
Max Planck Society,1344,False
NIFA,1342,False
Federal Ministry,1305,False
IOS,1260,False
AIRC,1246,False
ISCIII,1240,False
CSIR,1210,False
Cancer Center,1189,False
EPSRC,1159,False
DST,1145,False
American Cancer Society,1133,False
AIDS,1133,False
Israel Science Foundation,1123,False
SFRH,1107,False
French National Research Agency,1097,False
Novo Nordisk Foundation,1094,False
COVID,1093,False
DBI,1093,False
UKRI,1089,False
Cancer Institute,1082,False
LABX,1071,False
MCB,1044,False
NASA,1028,False
National Key R&D Program,1025,False
Russian Foundation,1021,False
EMBL,1019,False
EMBO,1015,False
ARS,1013,False
Applied Basic Research Foundation,972,False
NMR,954,False
FNRS,936,False
ERA,936,False
NERC,934,False
Alice Wallenberg Foundation,914,False
National Nature Science Foundation,914,False
Research Fund,893,False
MIUR,891,False
CRUK,882,False
MCIN,873,False
British Heart Foundation,867,False
the Department,843,False
COST,842,False
INSERM,837,False
CAMS,834,False
PTDC,833,False
Simons Foundation,802,False
RGPIN,797,False
OCE,790,False
Paulo Research Foundation,784,False
CPRIT,782,False
CDC,769,False
Biomedical Research Centre,768,False
UNAM,760,False
Betty Moore Foundation,759,False
DOD,757,False
RCUK,733,False
CSIC,728,False
MOF,722,False
UGC,708,False
UCLA,700,False
National Eye Institute,695,False
Canada Foundation,695,False
INRA,692,False
HPC,691,False
MARA,691,False
CREST,687,False
RIKEN,677,False
ANID,676,False
Research Center,670,False
CSC,669,False
DAAD,669,False
FAPERJ,667,False
UIDB,663,False
STAR,661,False
IDEX,652,False
grants from the National Institute,649,False
DGE,648,False
HIV,648,False
PRIN,644,False
CRC,644,False
Takeda Science Foundation,639,False
MOP,639,False
Korea Institute,638,False
Beijing Natural Science Foundation,633,False
BBS,629,False
MOE,628,False
BRC,621,False
MIT,615,False
UCSF,612,False
Swedish Cancer Society,610,False
CAAS,597,False
UCL,595,False
ETH,588,False
Youth Innovation Promotion Association,588,False
INBS,585,False
PICT,585,False
EXC,584,False
MSCA,583,False
PAPD,577,False
MSIT,571,False
German Ministry,562,False
Foundation Trust,561,False
SFI,560,False
ICAR,558,False
ALS,556,False
ITN,553,False
Earmarked Fund,552,False
Leverhulme Trust,549,False
SNSF,548,False
Welch Foundation,548,False
APC,547,False
SERB,543,False
French Ministry,541,False
Scientific Institution Basal Research Fund,530,False
BIO,522,False
FACS,518,False
Science Fund,518,False
SNF,517,False
German Center,517,False
FRM,516,False
UID,515,False
NET,509,False
ISF,509,False
Grant Agency,508,False
Scientific Research Foundation,506,False
MICINN,502,False
NCATS,501,False
NSW,501,False
Thailand Research Fund,489,False
Higher Education Commission,488,False
Sloan Foundation,485,False
Polish Ministry,485,False
Broad Institute,483,False
Singapore Ministry,476,False
POCI,476,False
ASTIP,474,False
Italian Association,468,False
Chinese Ministry,466,False
Dutch Cancer Society,465,False
National Science Center,458,False
Swedish Foundation,455,False
NCRR,455,False
Humboldt Foundation,451,False
ESF,449,False
American Society,447,False
FKZ,446,False
Postdoctoral Science Foundation,445,False
The National Natural Science Foundation,442,False
NOAA,439,False
University Grants Commission,437,False
National Centre,436,False
Energy Joint Genome Institute,435,False
Cystic Fibrosis Foundation,428,False
ESRF,426,False
CSIRO,422,False
FIS,412,False
SPORE,412,False
Lymphoma Society,411,False
KAUST,410,False
GFP,403,False
CAREER,401,False
CRIS,400,False
USAID,400,False
Portuguese Foundation,397,False
BPD,397,False
PAPIIT,395,False
Ontario Ministry,395,False
PJT,394,False
TCGA,394,False
URL,393,False
RSF,388,False
Fox Foundation,388,False
National Basic Research Program,386,False
the Fund,377,False
Fundamental Research Fund,377,False
CTSA,372,False
Breast Cancer Research Foundation,372,False
GRANT,370,False
Max Planck Institute,368,False
Polish National Science Centre,368,False
INBRE,367,False
RGC,365,False
Dutch Ministry,365,False
RAS,363,False
Helmholtz Association,362,False
FDA,361,False
AHA,359,False
MUR,359,False
National Natural Sciences Foundation,357,False
ALF,355,False
CERCA,353,False
SARS,353,False
The Ministry,351,False
FPI,351,False
INV,351,False
CAT,350,False
ICMR,349,False
RRID,347,False
Danish National Research Foundation,347,False
FRQS,345,False
AGAUR,345,False
NYU,343,False
Defense Threat Reduction Agency,341,False
Intramural Research Program,340,False
SGR,339,False
BIA,339,False
BES,337,False
PNRR,337,False
Prostate Cancer Foundation,337,False
UIDP,336,False
STDF,333,False
Medical Research Foundation,332,False
SNP,332,False
any funding agency,331,False
John Templeton Foundation,331,False
NUS,330,False
MRI,330,False
UMO,329,False
