bigram,count
supported by,161388
by the,147403
of the,120663
10 13039,119834
was supported,118592
science foundation,99743
this work,90057
work was,83385
and the,77803
from the,77259
foundation of,76998
of china,74853
doi org,73469
org 10,73249
the national,69632
natural science,67161
of health,56909
funded by,53131
dx doi,49063
science and,48889
http dx,45791
research council,45390
national natural,44317
and technology,42837
institutes of,42708
funding this,41960
university of,41569
institute of,40854
for the,38958
the manuscript,36662
we thank,36591
ministry of,36213
national institutes,34633
department of,34375
was funded,33363
research and,32818
national institute,32551
program of,32313
this study,31210
data collection,30538
this research,30180
role in,30003
of science,28916
study design,28818
no role,28609
decision to,28500
had no,28362
by a,28235
collection and,28106
study was,27798
design data,27719
national science,26003
in study,25833
the funders,25680
research was,25532
preparation of,25388
the authors,25226
funders had,25121
grant no,25011
and analysis,25005
to publish,24659
in the,24614
publish or,23968
or preparation,23862
analysis decision,23769
research foundation,22048
https doi,21004
grant number,19938
is supported,19614
and development,19401
medical research,18048
project of,17874
the university,17748
grants from,17674
by grants,17090
at the,16511
center for,15565
the european,15527
in part,15377
grant from,15107
the research,14818
thank the,14482
for their,14482
financial support,14307
to the,14270
provided by,14215
and by,13986
u s,13617
national key,13547
of education,13451
academy of,13230
part by,12914
like to,12834
research program,12356
a grant,12311
for providing,12256
development program,12144
of this,12080
and a,11974
s department,11944
to thank,11896
scientific research,11763
funding from,11600
key research,11412
the ministry,11401
the study,11400
and innovation,11400
national research,11289
support from,11106
wellcome trust,11043
would like,10834
council of,10579
foundation for,10554
health and,10440
de la,10349
institute for,10013
supported in,9951
cancer research,9849
through the,9801
european union,9799
open access,9765
nih national,9528
office of,9229
la recherche,9086
medical sciences,9056
european research,8991
we are,8962
china grant,8923
funding for,8886
infectious diseases,8875
cancer institute,8723
health research,8686
the work,8639
deutsche forschungsgemeinschaft,8612
grateful to,8544
research fund,8445
r d,8398
research institute,8300
this project,8196
with the,8158
under the,8021
society for,7987
promotion of,7970
writing review,7883
we also,7861
nacional de,7858
by national,7703
are grateful,7681
was provided,7641
for this,7561
national cancer,7520
the promotion,7493
and research,7487
and infectious,7404
we would,7323
for scientific,7283
acknowledge the,7247
funding the,7179
health nih,7178
allergy and,7178
to m,7118
thank dr,7107
of allergy,7095
the project,7069
research grant,7060
of sciences,7017
in this,6931
sciences research,6906
to j,6900
china no,6840
basic research,6792
on the,6747
review editing,6691
fund for,6687
sciences and,6653
and engineering,6651
this article,6648
of general,6629
human services,6613
for research,6605
also thank,6603
the author,6598
13039 501100001809,6586
the department,6585
general medical,6579
higher education,6554
by nih,6495
the natural,6494
horizon 2020,6428
of interest,6426
chinese academy,6387
part of,6307
assistance with,6274
research project,6203
japan society,6184
was also,6181
technical assistance,6178
project was,6174
of agriculture,6163
biological sciences,6104
