name,count,is_known
National Natural Science Foundation,89214,True
NIH,71044,True
National Institute,63193,True
Natural Science Foundation,31150,True
National Science Foundation,30741,False
Wellcome Trust,20201,True
Medical Research Council,16958,True
European Research Council,15744,True
NSF,14825,True
ANR,13195,False
DFG,12851,True
Japan Society,11390,False
National Cancer Institute,11148,False
National Research Foundation,10876,False
HHS,10338,False
JSPS,10099,False
ERC,9920,False
NCI,9719,True
NRF,9395,False
Science Foundation,8542,True
German Research Foundation,8491,True
Biological Sciences Research Council,8471,True
Engineering Research Council,7912,True
NIAID,7857,True
USDA,7773,False
BBSRC,7583,False
NSFC,7224,True
MRC,6955,True
Research Council,6826,True
Swiss National Science Foundation,6817,False
NIHR,6747,True
FEDER,6417,False
Swedish Research Council,6286,True
Spanish Ministry,5709,False
the Ministry,5658,False
Australian Research Council,5642,True
NIGMS,5583,True
MEXT,5523,False
NSERC,5302,False
III,5194,False
DOE,5122,False
European Regional Development Fund,5071,True
FCT,5010,False
CAPES,5006,False
National Center,4959,False
European Commission,4798,True
FAPESP,4778,False
Melinda Gates Foundation,4661,True
Howard Hughes Medical Institute,4454,True
Blood Institute,4439,False
Research Foundation,4363,True
NHMRC,4286,True
Italian Ministry,4283,False
Austrian Science Fund,4257,False
China Postdoctoral Science Foundation,4214,False
BMBF,3971,False
CARS,3964,False
Japan Agency,3825,True
MOST,3672,False
NWO,3634,False
Russian Science Foundation,3632,False
Royal Society,3623,False
AMED,3580,True
ARC,3574,True
CIHR,3454,True
DEB,3270,False
NHLBI,3180,True
DEAL,3067,False
CNRS,3019,False
German Federal Ministry,3005,False
AEI,2922,False
CAS,2893,False
FWF,2876,False
ERDF,2700,False
FWO,2686,False
Technology Commission,2663,True
National Key Research and Development Program,2660,False
Innovation Fund,2606,False
grants from the National Natural Science Foundation,2593,False
National Science Centre,2583,False
American Heart Association,2557,False
China Scholarship Council,2522,True
NHS,2496,False
Research Institute,2423,False
DBT,2402,False
National Human Genome Research Institute,2365,False
JST,2363,False
Max Planck Society,2232,False
Federal Ministry,2231,False
NIFA,2204,False
SFB,2203,False
ICT,2184,False
Czech Science Foundation,2130,True
UKRI,2069,False
MINECO,2034,True
EPSRC,2010,False
IOS,2005,False
AIRC,2000,False
ISCIII,1977,False
NINDS,1968,True
Technology Agency,1957,True
Novo Nordisk Foundation,1953,False
NIDDK,1908,True
DST,1905,False
Cancer Center,1902,False
French National Research Agency,1888,False
CSIR,1875,False
Physical Sciences Research Council,1869,True
AIDS,1845,False
COVID,1841,False
