ngram,n,count,keyword
science foundation,2,169302,foundation
foundation of,2,130729,foundation
natural science,2,114509,science
the national,2,114359,national
science foundation of,3,113246,foundation
natural science foundation,3,110989,foundation
funded by,2,88415,fund
foundation of china,3,87268,foundation
science and,2,81840,science
research council,2,78377,council
national natural,2,75585,national
national natural science,3,74788,science
institutes of,2,70867,institute
institute of,2,69686,institute
funding this,2,69617,fund
science and technology,3,68075,science
institutes of health,3,66361,institute
ministry of,2,59630,ministry
national institutes,2,56953,institute
research and,2,56894,research
national institutes of,3,56753,institute
national institute,2,56081,institute
was funded,2,55479,fund
funded by the,3,51469,fund
was funded by,3,50757,fund
this research,2,50106,research
of science,2,48526,science
national institute of,3,44976,institute
national science,2,43040,science
by the national,3,42875,national
research was,2,42104,research
the funders,2,42036,fund
funders had,2,40949,fund
funders had no,3,40812,fund
the funders had,3,40563,fund
this research was,3,37675,research
funding this work,3,37158,fund
research foundation,2,36761,foundation
national science foundation,3,33215,foundation
the national natural,3,31991,national
research and development,3,31703,research
medical research,2,30624,research
the research,2,25974,research
of science and,3,25472,science
national key,2,23467,national
key research,2,19971,research
from the national,3,19886,national
funding from,2,19878,fund
research program,2,19855,research
scientific research,2,19359,research
wellcome trust,2,18990,trust
national research,2,18739,research
the national institutes,3,18598,institute
ministry of education,3,18512,ministry
key research and,3,18393,research
the ministry,2,18347,ministry
research was supported,3,17946,research
the ministry of,3,17805,ministry
medical research council,3,17725,council
foundation for,2,17675,foundation
council of,2,17614,council
ministry of science,3,17488,ministry
institute for,2,16750,institute
research was funded,3,16544,fund
nih national,2,16501,national
funding this research,3,16065,fund
cancer research,2,15908,research
medical sciences,2,15869,science
european research,2,15817,research
work was funded,3,15406,fund
health research,2,14518,research
european research council,3,14412,council
funding for,2,14185,fund
national key research,3,14039,research
research fund,2,13789,fund
funding from the,3,13752,fund
cancer institute,2,13725,institute
research and innovation,3,13671,research
the national institute,3,13398,institute
research institute,2,13300,institute
of the national,3,13214,national
funding this study,3,13176,fund
research council of,3,12599,council
institute of allergy,3,12464,institute
and research,2,12285,research
sciences research,2,12231,research
promotion of science,3,12095,science
by national,2,12073,national
national cancer,2,11822,national
funding the,2,11727,fund
research grant,2,11504,research
institute of general,3,11438,institute
of sciences,2,11400,science
sciences and,2,11144,science
for research,2,11005,research
general medical sciences,3,10950,science
basic research,2,10922,research
fund for,2,10875,fund
national cancer institute,3,10818,institute
the national science,3,10798,science
academy of sciences,3,10780,science
nih national institute,3,10767,institute
and the national,3,10658,national
national research foundation,3,10624,foundation
research project,2,10616,research
biological sciences,2,10585,science
sciences research council,3,10570,council
the national key,3,10543,national
china national,2,10480,national
research foundation of,3,9927,foundation
foundation grant,2,9896,foundation
research program of,3,9645,research
fund of,2,9512,fund
of china national,3,9487,national
engineering research,2,9471,research
study was funded,3,9360,fund
biological sciences research,3,9298,research
and biological sciences,3,9261,science
funds for,2,9149,fund
10 13039 501100001809national,3,9085,national
13039 501100001809national,2,9085,national
501100001809national natural,2,9034,national
501100001809national natural science,3,9033,science
and engineering research,3,9028,research
research center,2,9007,research
13039 501100001809national natural,3,8991,national
for the research,3,8953,research
is funded,2,8940,fund
for scientific research,3,8920,research
research funds,2,8836,fund
health national,2,8540,national
funding acquisition,2,8288,fund
is funded by,3,8194,fund
german research,2,8158,research
of health national,3,8114,national
fundamental research,2,8044,fund
supported by national,3,8005,national
the natural science,3,8002,science
engineering research council,3,7974,council
agency for,2,7966,agency
13039 100000002national,2,7875,national
10 13039 100000002national,3,7875,national
13039 100000002national institutes,3,7819,institute
100000002national institutes,2,7819,institute
100000002national institutes of,3,7819,institute
natural sciences,2,7800,science
research fellowship,2,7787,research
research authorship,2,7782,research
the research authorship,3,7775,research
research authorship and,3,7770,research
sciences and engineering,3,7697,science
services nih national,3,7558,national
german research foundation,3,7445,foundation
nationale de,2,7399,national
institute on,2,7347,institute
council of canada,3,7345,council
foundation and,2,7262,foundation
the wellcome trust,3,7151,trust
