,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
NIH (USA),710,883,1059,1514,1712,1883,2091,2411,2670,2759,3604,4232,4299,4620,4695
NSFC (China),135,226,374,724,895,1254,1639,1963,2245,2708,3685,5023,6644,4872,4966
NSF (USA),294,411,523,722,868,1014,1205,1293,1514,1652,1940,2043,2102,1987,2170
EC (Europe),250,294,374,552,640,811,953,1123,1276,1338,1770,1974,2003,2038,2108
DFG (Germany),141,188,235,293,414,447,573,664,767,853,1216,1360,1330,1265,1136
Wellcome (UK),195,216,246,370,438,505,576,768,886,933,1032,1200,1052,877,839
MRC (UK),132,173,181,341,363,446,539,704,838,850,1004,1174,1034,903,865
ERC (Europe),17,42,82,178,279,373,497,693,863,797,962,1074,946,961,906
JSPS (Japan),32,81,102,191,241,303,398,459,506,537,704,743,679,711,648
NCI (USA),70,98,143,195,207,273,327,403,403,400,573,739,707,853,825
