,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
NIH (USA),710,883,1059,1514,1712,1883,2091,2411,2670,2759,3604,4232,4299,4620,4695
NSFC (China),135,226,374,724,895,1254,1639,1963,2245,2708,3685,5023,6644,4872,4966
NSF (USA),294,411,523,722,868,1014,1205,1293,1514,1652,1940,2043,2102,1987,2170
EC (Europe),250,294,374,552,640,811,953,1123,1276,1338,1770,1974,2003,2038,2108
DFG (Germany),141,188,235,293,414,447,573,664,767,853,1216,1360,1330,1265,1136
Wellcome (UK),195,216,246,370,438,505,576,768,886,933,1032,1200,1052,877,839
MRC (UK),132,173,181,341,363,446,539,704,838,850,1004,1174,1034,903,865
ERC (Europe),17,42,82,178,279,373,497,693,863,797,962,1074,946,961,906
JSPS (Japan),32,81,102,191,241,303,398,459,506,537,704,743,679,711,648
ANR (France),54,89,110,184,236,272,316,415,489,455,548,590,625,556,500
BBSRC (UK),89,116,130,230,265,339,345,450,554,514,551,542,447,414,394
NRF (Korea),27,42,55,135,141,205,253,299,350,374,496,561,569,568,490
CNPq (Brazil),57,82,112,200,243,294,315,362,414,385,433,449,398,361,356
VR (Sweden),57,72,89,159,162,215,218,256,325,306,359,397,436,324,341
SNSF (Switzerland),44,40,69,110,143,157,189,238,277,305,377,459,451,388,395
FWF (Austria),40,44,72,103,115,122,164,216,258,283,351,391,373,326,327
CIHR (Canada),74,69,92,127,140,160,182,217,195,223,285,336,344,345,358
NHMRC (Australia),47,74,52,119,134,153,163,186,242,205,267,318,289,264,240
HHMI (USA),55,74,90,140,147,127,153,175,188,203,223,218,236,261,283
FAPESP (Brazil),35,36,57,115,113,156,171,203,230,234,272,279,241,209,190
