,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
HHMI (USA),14.627659574468085,15.74468085106383,17.578125,21.978021978021978,23.902439024390244,19.568567026194145,25.205930807248766,27.089783281733748,27.050359712230215,28.194444444444443,27.909887359198997,24.74460839954597,22.60536398467433,22.616984402079723,22.301024428684002
BBSRC (UK),14.19457735247209,15.591397849462366,12.974051896207584,17.037037037037038,16.148689823278488,16.865671641791042,15.319715808170514,17.971246006389777,21.299500192233754,20.396825396825395,20.90288315629742,19.73061521659993,18.141233766233768,18.424566088117487,19.043015949734173
ANR (France),13.043478260869565,15.45138888888889,12.82051282051282,15.020408163265305,16.515045486354094,16.066154754873008,15.076335877862595,17.75021385799829,18.47374386097469,16.232607920085623,15.874855156431057,14.443084455324357,15.060240963855422,15.759637188208616,14.810426540284361
ERC (Europe),12.5,13.592233009708737,11.935953420669577,12.964311726147123,13.510895883777241,12.165688193085453,12.02516331962255,14.80452894680624,15.619909502262445,14.589053633534688,14.662399024538942,14.456858258177412,13.16265479337693,16.132281349672652,14.283462084187292
FWF (Austria),15.625,7.801418439716312,8.685162846803378,11.431742508324085,11.465603190428714,11.233885819521179,10.991957104557642,12.128017967434026,13.19693094629156,13.495469718645683,13.053179620676831,12.291732159698208,11.594653403792353,11.785972523499638,12.669507942657884
Wellcome (UK),9.568204121687929,9.77818017202354,8.720311946118397,10.478617955253469,11.153552330022919,11.537582819282614,11.871393239901073,14.444235471130337,15.022041369955918,15.350444225074037,14.995640802092414,15.19949335022166,14.164534805439613,12.776806526806528,12.552363853979653
DFG (Germany),11.334405144694534,10.70615034168565,9.12975912975913,9.355044699872286,11.123052122514778,10.554899645808737,11.717791411042946,11.571976298361799,12.126482213438736,11.397648316408338,12.199036918138042,11.714039621016365,11.965811965811966,13.080343294385274,12.491752804046625
SNSF (Switzerland),12.429378531073446,8.333333333333332,9.57004160887656,11.891891891891893,13.36448598130841,12.519936204146731,12.007623888182973,13.200221852468108,14.03953370501774,14.232384507699486,13.610108303249097,12.93322062552832,12.472345132743364,12.568837058632976,11.94074969770254
NSF (USA),12.024539877300613,13.173076923076923,12.047915226906243,12.997299729972998,13.901345291479823,13.5109926715523,13.979118329466358,14.123429819770617,14.070631970260223,12.944679517317034,13.695728909283444,12.772741481713034,11.937077630756999,11.96987951807229,11.851447296559257
NIH (USA),9.700778794917339,9.691581604653715,8.793489994187494,10.623070446253157,11.035905369689937,11.148608644168148,11.26494989764034,11.89325177584846,11.927630109448291,11.272727272727273,11.921931855772412,11.686088253161762,11.347499010162334,11.294186671881876,10.802540150016107
VR (Sweden),11.30952380952381,10.843373493975903,9.232365145228217,12.926829268292684,11.629576453697057,13.337468982630273,11.105450840550178,11.159546643417611,13.352506162695152,11.019085343896291,10.872198667474258,11.003325942350333,11.280724450194048,10.030959752321982,10.24024024024024
EC (Europe),13.068478829064297,11.511354737666405,10.573932711337292,12.293986636971047,11.210369591872482,11.810106305519149,11.531945788964181,12.092171853128027,11.967735884449446,10.70485638851108,11.235241843341374,10.22109459949257,10.015,10.614583333333332,10.147299509001636
FAPESP (Brazil),10.8359133126935,7.453416149068323,7.960893854748603,10.90047393364929,9.172077922077921,11.032531824611032,11.891515994436718,12.133891213389122,12.292891501870658,12.466702184336707,12.279909706546276,10.932601880877742,9.83673469387755,9.80760206475833,9.713701431492842
MRC (UK),7.796810395747195,7.917620137299772,5.87090496269867,8.201058201058201,7.54520889627936,8.044733044733045,8.211456429006702,9.584751531654186,10.455396132252028,10.18573996405033,10.585134422772798,10.662065207519753,9.257767033754142,8.972575516693164,9.265209940017138
CNPq (Brazil),9.844559585492227,8.622502628811777,8.199121522693996,10.63264221158958,9.712230215827338,10.765287440497987,11.39240506329114,11.606284065405578,11.691612538830839,10.766219239373601,10.9095490047871,10.121731289449954,8.430417284473629,8.546401515151516,8.644973288003884
CIHR (Canada),8.390022675736962,6.244343891402715,5.512282804074296,6.29024269440317,6.572769953051644,6.989951944080384,7.250996015936255,8.21969696969697,6.999282124910265,7.32107682206172,8.055398530243076,7.269580268282129,7.437837837837838,7.814269535673839,7.871591908531222
NSFC (China),9.670487106017193,9.269893355209188,7.989745780816065,9.177335530485486,8.180239466227949,8.874734607218683,7.967527101259055,7.833825524782505,7.806523402183741,7.592452406986851,8.350328574665761,9.122940845275068,8.79487451021921,7.888217865064845,7.520709969559753
JSPS (Japan),8.695652173913043,12.404287901990811,8.955223880597014,10.148777895855472,10.432900432900432,10.253807106598984,10.2656693319577,9.602510460251047,9.449112978524743,8.945527236381809,9.151176394124528,7.890824129141887,6.984878098961013,8.202584217812644,7.437162860094112
NHMRC (Australia),8.561020036429873,9.475032010243279,4.9010367577756835,8.122866894197953,7.947805456702254,8.301682040151928,7.623947614593078,8.154318281455502,9.584158415841584,7.473569084943492,8.519463943841735,8.406026962727994,6.620847651775487,6.724401426388181,6.980802792321117
NRF (Korea),7.397260273972603,5.59254327563249,4.310344827586207,6.770310932798395,5.263157894736842,5.885730691932242,5.828150195807417,5.729066871048094,5.923168048739211,5.091206098557038,5.265392781316349,5.048596112311015,5.175550300163725,5.744917568524325,5.111087931574007
