,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,total
NIH (USA),931,1173,1460,2058,2327,2624,3078,3575,3965,4104,5355,6335,6315,6897,7034,57231
NSFC (China),140,244,397,764,951,1330,1706,2024,2295,2752,3743,5096,6775,4984,5079,38280
EC (Europe),258,329,448,707,900,1159,1421,1772,2101,2088,2679,2967,2848,2934,2936,25547
UK Research and Innovation (UK),295,382,432,766,892,1087,1250,1622,1934,1907,2285,2461,2293,2018,2073,21697
NSF (USA),285,410,515,714,859,1005,1187,1272,1481,1623,1892,1987,2051,1951,2137,19369
DFG (Germany),138,187,232,289,412,440,562,651,750,835,1189,1331,1296,1236,1116,10664
Wellcome (UK),186,213,243,362,433,497,563,749,867,911,995,1167,1019,856,815,9876
European Regional Development Fund (EU),27,54,81,140,192,232,308,401,500,636,811,919,845,680,573,6399
JSPS (Japan),32,80,100,189,239,300,396,457,496,532,700,729,674,701,634,6259
National Key Research and Development Program (China),0,0,0,0,1,0,20,179,298,495,727,1036,1190,869,918,5733
NRF (Korea),35,58,81,168,188,269,324,395,421,455,606,693,685,672,575,5625
ANR (France),53,89,109,179,230,269,307,403,480,446,541,571,602,539,486,5304
Ministry of Science and Technology (Taiwan),47,85,100,167,229,316,410,469,435,426,521,647,557,381,396,5186
United States Department of Agriculture (USA),91,110,129,193,190,235,277,313,336,339,444,503,420,383,365,4328
Department of Energy (USA),104,106,146,218,211,274,308,325,328,315,358,369,325,285,339,4011
Natural Sciences and Engineering Research Council of Canada (Canada),68,79,99,153,193,206,237,322,316,292,370,360,429,380,391,3895
Australian Research Council (Australia),51,74,81,145,178,197,229,243,325,236,328,353,425,334,313,3512
Ministerio de Economia y Competitividad (Spain),27,62,62,123,170,163,262,313,293,340,378,372,372,289,264,3490
Swedish Research Council (Sweden),56,71,87,156,157,210,210,239,307,284,331,368,394,300,316,3486
SNSF (Switzerland),42,40,69,107,140,154,180,234,265,282,343,419,418,372,366,3431
"Ministry of Education, Culture, Sports, Science and Technology (Japan)",62,93,101,170,209,229,266,291,259,317,342,257,240,220,215,3271
Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (Brazil),24,40,65,113,147,175,193,233,284,304,348,371,324,282,220,3123
Bundesministerium fur Bildung und Forschung (Germany),44,69,90,117,137,176,181,209,257,227,309,354,349,336,238,3093
Canadian Institutes of Health Research (Canada),56,54,77,113,128,148,169,198,186,206,266,317,325,326,340,2909
National Institute for Health Research (UK),12,19,31,56,80,108,155,182,232,247,310,422,374,313,325,2866
National Health and Medical Research Council (Australia),46,72,49,115,133,149,161,176,239,198,259,308,277,257,229,2668
HHMI (USA),54,71,85,136,144,126,151,170,183,194,217,211,226,258,277,2503
Fundacao de Amparo a Pesquisa do Estado de Sao Paulo (Brazil),32,29,53,106,105,145,154,189,213,218,253,255,215,189,179,2335
China Postdoctoral Science Foundation (China),6,4,16,26,37,62,89,111,124,185,264,354,410,325,315,2328
Centre National de la Recherche Scientifique (France),52,68,78,120,118,138,147,183,210,154,188,202,219,176,154,2207
Netherlands Organisation for Scientific Research (Netherlands),35,53,50,83,82,100,131,154,180,185,252,245,220,184,195,2149
Bill and Melinda Gates Foundation (USA),15,21,17,30,41,58,65,106,168,181,264,283,309,241,247,2046
FWF (Austria),37,43,68,100,112,117,125,149,173,160,194,211,178,185,162,2014
Department of Biotechnology (India),33,36,67,97,133,141,162,160,146,144,200,222,190,128,131,1990
Italian Ministry (Italy),28,43,39,66,61,77,80,110,109,128,175,236,273,267,256,1948
Royal Society (UK),29,31,37,69,65,83,125,155,184,174,199,211,215,179,173,1929
Japan Agency for Medical Research and Development (Japan),3,0,1,0,0,20,91,148,155,178,249,283,262,239,243,1872
Fundacao para a Ciencia e a Tecnologia (Portugal),16,31,38,68,83,92,90,118,109,147,192,219,230,203,209,1845
Max Planck Society (Germany),28,48,55,73,96,82,106,125,128,133,159,230,174,170,153,1760
China Scholarship Council (China),5,16,17,39,35,67,106,132,129,160,204,202,230,183,183,1708
Japan Science and Technology Agency (Japan),12,20,27,54,77,81,121,120,134,101,130,139,161,174,219,1570
National Science Centre (Poland),0,0,3,20,46,41,81,73,111,124,226,208,184,216,195,1528
Russian Science Foundation (Russia),1,1,2,4,8,41,81,86,135,139,190,193,218,233,174,1506
Research Foundation Flanders (Belgium),15,23,33,53,52,70,88,91,93,118,118,158,174,137,121,1344
American Heart Association (USA),22,27,30,31,39,44,60,52,88,67,117,153,153,162,161,1206
Czech Science Foundation (Czech Republic),4,15,29,24,46,47,66,70,108,83,117,150,113,105,126,1103
Associazione Italiana per la Ricerca sul Cancro (Italy),11,15,15,29,37,63,66,77,78,92,125,116,126,113,117,1080
