journal,year,count
BMC Genomics,2004,10
BMC Genomics,2005,46
BMC Genomics,2006,77
BMC Genomics,2007,116
BMC Genomics,2008,185
BMC Genomics,2009,200
BMC Genomics,2010,276
BMC Genomics,2011,258
BMC Genomics,2012,309
BMC Genomics,2013,406
BMC Genomics,2014,597
BMC Genomics,2015,571
BMC Genomics,2016,320
BMC Genomics,2017,181
BMC Genomics,2018,173
BMC Genomics,2019,171
BMC Genomics,2020,134
BMC Genomics,2021,138
BMC Genomics,2022,130
BMC Genomics,2023,78
BMC Genomics,2024,126
BMC Genomics,2025,71
Data in Brief,2014,11
Data in Brief,2015,69
Data in Brief,2016,78
Data in Brief,2017,54
Data in Brief,2018,128
Data in Brief,2019,184
Data in Brief,2020,296
Data in Brief,2021,268
Data in Brief,2022,365
Data in Brief,2023,320
Data in Brief,2024,294
Data in Brief,2025,100
Frontiers in Genetics,2012,13
Frontiers in Genetics,2013,13
Frontiers in Genetics,2014,33
Frontiers in Genetics,2015,18
Frontiers in Genetics,2016,19
Frontiers in Genetics,2017,24
Frontiers in Genetics,2018,123
Frontiers in Genetics,2019,228
Frontiers in Genetics,2020,357
Frontiers in Genetics,2021,394
Frontiers in Genetics,2022,217
Frontiers in Genetics,2023,82
Frontiers in Genetics,2024,56
Frontiers in Genetics,2025,17
Frontiers in Immunology,2012,5
Frontiers in Immunology,2013,9
Frontiers in Immunology,2014,9
Frontiers in Immunology,2015,8
Frontiers in Immunology,2016,18
Frontiers in Immunology,2017,72
Frontiers in Immunology,2018,124
Frontiers in Immunology,2019,157
Frontiers in Immunology,2020,211
Frontiers in Immunology,2021,527
Frontiers in Immunology,2022,885
Frontiers in Immunology,2023,588
Frontiers in Immunology,2024,303
Frontiers in Immunology,2025,50
Frontiers in Microbiology,2011,8
Frontiers in Microbiology,2012,55
Frontiers in Microbiology,2013,70
Frontiers in Microbiology,2014,96
Frontiers in Microbiology,2015,296
Frontiers in Microbiology,2016,456
Frontiers in Microbiology,2017,544
Frontiers in Microbiology,2018,679
Frontiers in Microbiology,2019,712
Frontiers in Microbiology,2020,846
Frontiers in Microbiology,2021,1067
Frontiers in Microbiology,2022,1505
Frontiers in Microbiology,2023,954
Frontiers in Microbiology,2024,556
Frontiers in Microbiology,2025,107
Frontiers in Plant Science,2012,12
Frontiers in Plant Science,2013,34
Frontiers in Plant Science,2014,32
Frontiers in Plant Science,2015,120
Frontiers in Plant Science,2016,254
Frontiers in Plant Science,2017,287
Frontiers in Plant Science,2018,204
Frontiers in Plant Science,2019,187
Frontiers in Plant Science,2020,274
Frontiers in Plant Science,2021,531
Frontiers in Plant Science,2022,1009
Frontiers in Plant Science,2023,572
Frontiers in Plant Science,2024,258
Frontiers in Plant Science,2025,49
Genome Announcements,2013,514
Genome Announcements,2014,631
Genome Announcements,2015,912
Genome Announcements,2016,819
Genome Announcements,2017,759
Genome Announcements,2018,445
International Journal of Molecular Sciences,2008,2
International Journal of Molecular Sciences,2010,8
International Journal of Molecular Sciences,2011,26
International Journal of Molecular Sciences,2012,37
International Journal of Molecular Sciences,2013,50
International Journal of Molecular Sciences,2014,61
International Journal of Molecular Sciences,2015,80
International Journal of Molecular Sciences,2016,99
International Journal of Molecular Sciences,2017,92
International Journal of Molecular Sciences,2018,249
International Journal of Molecular Sciences,2019,327
International Journal of Molecular Sciences,2020,446
International Journal of Molecular Sciences,2021,443
International Journal of Molecular Sciences,2022,564
International Journal of Molecular Sciences,2023,540
International Journal of Molecular Sciences,2024,223
International Journal of Molecular Sciences,2025,105
Microbiology Resource Announcements,,836
Microbiology Resource Announcements,2018,244
Microbiology Resource Announcements,2019,587
Microbiology Resource Announcements,2020,516
Microbiology Resource Announcements,2021,205
Microorganisms,2016,6
Microorganisms,2017,8
Microorganisms,2018,16
Microorganisms,2019,163
Microorganisms,2020,356
Microorganisms,2021,264
Microorganisms,2022,292
Microorganisms,2023,208
Microorganisms,2024,214
Microorganisms,2025,100
"Mitochondrial DNA. Part B, Resources",,2000
"Mitochondrial DNA. Part B, Resources",2020,2
Nature Communications,2010,7
Nature Communications,2011,32
Nature Communications,2012,30
Nature Communications,2013,56
Nature Communications,2014,174
Nature Communications,2015,365
Nature Communications,2016,552
Nature Communications,2017,801
Nature Communications,2018,700
Nature Communications,2019,296
Nature Communications,2020,251
Nature Communications,2021,353
Nature Communications,2022,424
Nature Communications,2023,368
Nature Communications,2024,442
Nature Communications,2025,247
Nucleic Acids Research,2006,54
Nucleic Acids Research,2007,123
Nucleic Acids Research,2008,73
Nucleic Acids Research,2009,141
Nucleic Acids Research,2010,190
Nucleic Acids Research,2011,189
Nucleic Acids Research,2012,185
Nucleic Acids Research,2013,163
Nucleic Acids Research,2014,243
Nucleic Acids Research,2015,222
Nucleic Acids Research,2016,227
Nucleic Acids Research,2017,315
Nucleic Acids Research,2018,300
Nucleic Acids Research,2019,334
Nucleic Acids Research,2020,323
Nucleic Acids Research,2021,371
Nucleic Acids Research,2022,371
Nucleic Acids Research,2023,211
Nucleic Acids Research,2024,106
Nucleic Acids Research,2025,38
PLoS Genetics,2005,12
PLoS Genetics,2006,33
PLoS Genetics,2007,40
PLoS Genetics,2008,40
PLoS Genetics,2009,57
PLoS Genetics,2010,62
PLoS Genetics,2011,62
PLoS Genetics,2012,125
PLoS Genetics,2013,161
PLoS Genetics,2014,155
PLoS Genetics,2015,151
PLoS Genetics,2016,133
PLoS Genetics,2017,103
PLoS Genetics,2018,100
PLoS Genetics,2019,89
PLoS Genetics,2020,73
PLoS Genetics,2021,61
PLoS Genetics,2022,39
PLoS ONE,2006,13
PLoS ONE,2007,101
PLoS ONE,2008,180
PLoS ONE,2009,324
PLoS ONE,2010,538
PLoS ONE,2011,1196
PLoS ONE,2012,1707
PLoS ONE,2013,2600
PLoS ONE,2014,2320
PLoS ONE,2015,2050
PLoS ONE,2016,1401
PLoS ONE,2017,1109
PLoS ONE,2018,910
PLoS ONE,2019,846
PLoS ONE,2020,669
PLoS ONE,2021,526
PLoS ONE,2022,401
PeerJ,2013,16
PeerJ,2014,39
PeerJ,2015,50
PeerJ,2016,132
PeerJ,2017,167
PeerJ,2018,167
PeerJ,2019,268
PeerJ,2020,213
PeerJ,2021,176
PeerJ,2022,150
PeerJ,2023,116
PeerJ,2024,87
PeerJ,2025,42
Scientific Data,2014,34
Scientific Data,2015,35
Scientific Data,2016,52
Scientific Data,2017,70
Scientific Data,2018,103
Scientific Data,2019,140
Scientific Data,2020,139
Scientific Data,2021,101
Scientific Data,2022,311
Scientific Data,2023,304
Scientific Data,2024,543
Scientific Data,2025,468
Scientific Reports,2011,5
Scientific Reports,2012,32
Scientific Reports,2013,80
Scientific Reports,2014,142
Scientific Reports,2015,564
Scientific Reports,2016,1281
