country,count
China,22831
USA,17785
UK,7636
Germany,6871
France,3616
Japan,3223
Canada,3208
Australia,3114
Italy,2688
Spain,2667
Netherlands,2609
Switzerland,2065
India,1920
Sweden,1883
Brazil,1486
South Korea,1289
Denmark,1214
Austria,1130
Belgium,1129
Norway,874
Poland,798
Czech Republic,733
Finland,721
Israel,676
Russia,623
Portugal,616
Korea,608
Taiwan,578
Saudi Arabia,567
South Africa,564
Mexico,544
Singapore,526
Ireland,495
New Zealand,482
Thailand,438
Chile,420
Egypt,414
Pakistan,366
Iran,342
Argentina,341
Hungary,327
Greece,293
Malaysia,281
Colombia,273
Turkey,204
Kenya,177
Vietnam,175
Bangladesh,164
Slovenia,155
Indonesia,141
