institution,count
School of Medicine,15781
Chinese Academy of Sciences,7559
University School of Medicine,6395
University of California,5556
University Hospital,4403
College of Medicine,4124
University of Science and Technology,3314
School of Life Sciences,2909
University Medical Center,2846
Institute of Technology,2591
School of Public Health,2551
University of,2364
University of Oxford,2346
Max Planck Institute,2170
Harvard Medical School,2053
College of Life Sciences,1908
Stanford University,1864
University of Cambridge,1851
University of Chinese Academy of Sciences,1841
University of Technology,1741
INSERM,1543
University of Medical Sciences,1523
College of Veterinary Medicine,1515
University of Toronto,1471
University of Copenhagen,1409
University of Tokyo,1394
National Institutes of Health,1325
University of Washington,1323
University of Hong Kong,1310
Karolinska Institute,1308
University of Melbourne,1306
School of Biological Sciences,1292
University College London,1270
University of Edinburgh,1227
University of Florida,1226
University of Chinese Medicine,1183
University of Vienna,1183
University of Helsinki,1168
University of Pennsylvania,1108
Johns Hopkins University,1075
University of Michigan,1030
University of Queensland,1013
University of British Columbia,990
University of Minnesota,917
Institute of Science and Technology,900
College of Animal Science and Technology,858
School of Medicine at Mount Sinai,841
Yale University,835
Harvard University,799
University of Sydney,796
University of Singapore,795
University of Freiburg,794
University of Traditional Chinese Medicine,792
University of California San Diego,769
University of Georgia,763
University of Zurich,761
University College of Medicine,761
Institute of Microbiology,745
University of Oslo,727
Massachusetts Institute of Technology,725
School of Pharmacy,710
Institute of Botany,708
Center for Disease Control,705
University of Amsterdam,698
University of Bristol,694
School of Basic Medical Sciences,691
University of London,691
Université Paris-Saclay,678
University of North Carolina at Chapel Hill,671
University of Manchester,667
Inserm,665
University Graduate School of Medicine,664
University of Southern California,655
Center for Disease Control and Prevention,653
Harvard,648
University of Pittsburgh,645
University of Groningen,624
University of Munich,622
College of Life Science,622
Cambridge,614
University of Texas MD Anderson Cancer Center,597
University of Chicago,596
Universidad Nacional Aut,593
University of Bern,590
College of Pharmacy,589
Universität Berlin,585
School of Science,578
Institute of Zoology,547
University of Glasgow,544
University of Wisconsin-Madison,539
College of Agriculture,536
School of Psychology,529
School of Pharmaceutical Sciences,527
Institute of Biology,525
University of Liverpool,520
Universidad Aut,503
University of Western Australia,499
College of Horticulture,498
University of Wisconsin,495
Oxford,493
