journal,count
PLoS ONE,16891
Scientific Reports,9874
Frontiers in Microbiology,7951
Nature Communications,5098
BMC Genomics,4573
Nucleic Acids Research,4179
Genome Announcements,4080
Frontiers in Plant Science,3823
International Journal of Molecular Sciences,3352
Frontiers in Immunology,2966
iScience,2750
Microbiology Resource Announcements,2388
Scientific Data,2300
Data in Brief,2167
eLife,2067
"Mitochondrial DNA. Part B, Resources",2002
Microorganisms,1627
PeerJ,1623
Frontiers in Genetics,1594
PLoS Genetics,1496
bioRxiv,1487
Heliyon,1467
Ecology and Evolution,1407
Proceedings of the National Academy of Sciences of the United States of America,1394
Genome Research,1352
Frontiers in Cellular and Infection Microbiology,1312
Viruses,1302
Frontiers in Psychology,1243
Cell reports,1240
Molecules,1201
Frontiers in Oncology,1171
BMC Plant Biology,1135
The Journal of Biological Chemistry,1125
Genes,1115
Oncotarget,1113
Emerging Infectious Diseases,1091
PLOS ONE,1081
PLoS Pathogens,1062
BMC Evolutionary Biology,1061
mBio,1047
Genome Biology,1003
Parasites & Vectors,985
BMC Microbiology,980
G3: Genes|Genomes|Genetics,928
Microbiology Spectrum,913
Frontiers in Veterinary Science,795
BMC Bioinformatics,779
Genome Biology and Evolution,747
Science Advances,734
Frontiers in Endocrinology,708
The Journal of Cell Biology,708
PLoS Neglected Tropical Diseases,708
F1000Research,702
Chemical Science,671
PLoS Biology,669
Animals : an Open Access Journal from MDPI,666
Communications Biology,651
Microbial Genomics,627
Cancers,614
Frontiers in Nutrition,612
Pathogens,609
STAR Protocols,604
Frontiers in Physiology,601
Frontiers in Cell and Developmental Biology,598
Plants,559
Cell Reports Medicine,553
Virology Journal,536
JCI Insight,534
Cells,530
Journal of Fungi,525
GigaScience,509
PLoS Computational Biology,507
Marine Drugs,502
Frontiers in Neuroscience,490
Genes & Development,479
BioMed Research International,463
BMC Cancer,451
mSystems,447
Molecular Biology and Evolution,429
Frontiers in Public Health,422
Frontiers in Pharmacology,421
Frontiers in Medicine,418
Journal of Experimental Botany,415
RSC Advances,412
Insects,410
Morbidity and Mortality Weekly Report,406
Molecular & Cellular Proteomics : MCP,391
Aging (Albany NY),391
The Journal of Experimental Medicine,387
ZooKeys,385
The Journal of Clinical Investigation,374
BMC Research Notes,361
RNA,361
Cell Death & Disease,359
BMC Veterinary Research,356
mSphere,352
Cell Reports,347
Genomics Data,347
Computational and Structural Biotechnology Journal,345
EBioMedicine,340
