publisher,count
Frontiers Media S.A.,28205
MDPI,17006
Nature Publishing Group UK; London,15716
BioMed Central; London,14300
Elsevier,13836
"Public Library of Science; San Francisco, CA USA",12306
"Public Library of Science; San Francisco, USA",11107
"American Society for Microbiology; 1752 N St., N.W., Washington, DC",9677
Oxford University Press,9210
John Wiley and Sons Inc.; Hoboken,7005
BioMed Central,6898
Nature Publishing Group,4509
Taylor & Francis,3281
Cold Spring Harbor Laboratory Press,2519
"eLife Sciences Publications, Ltd",2067
,1979
Cold Spring Harbor Laboratory,1688
Springer Berlin Heidelberg; Berlin/Heidelberg,1614
National Academy of Sciences,1394
Centers for Disease Control and Prevention,1342
American Society for Biochemistry and Molecular Biology,1298
Cell Press,1267
Impact Journals LLC,1163
The Royal Society of Chemistry,1140
Oxford University Press; US,1123
"PeerJ Inc.; San Diego, USA",1123
Springer US; New York,1041
"F1000 Research Limited; London, UK",991
Microbiology Society,930
Springer International Publishing; Cham,920
American Society for Clinical Investigation,908
The Rockefeller University Press,881
International Union of Crystallography,810
Pensoft Publishers,792
Hindawi Publishing Corporation,768
American Association for the Advancement of Science,756
Oxford University Press; UK,720
American Association for Cancer Research,693
Genetics Society of America,672
Hindawi,668
"John Wiley & Sons, Inc.; Hoboken, USA",630
Dove,597
"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",577
D.A. Spandidos,558
"PeerJ Inc.; San Francisco, USA",546
Nature Pub. Group,537
"Lippincott Williams & Wilkins; Hagerstown, MD",519
The Royal Society,513
"SAGE Publications; Sage UK: London, England",483
Springer Netherlands; Dordrecht,466
