institution,count,corpus_total,open_data_pct,ci_low,ci_high
School of Medicine,26938,265,10165.28,,
School of Public Health,4503,124,3631.45,,
Chinese Academy of Sciences,12721,388,3278.61,,
University of Melbourne,2173,122,1781.15,,
National Institutes of Health,2289,176,1300.57,,
Harvard Medical School,3451,297,1161.95,,
University of Copenhagen,2357,256,920.7,,
University of California,9012,1006,895.83,,
University of Helsinki,1992,228,873.68,,
University of Edinburgh,2131,244,873.36,,
University of Vienna,2120,246,861.79,,
University of Georgia,1321,154,857.79,,
University of Florida,2073,267,776.4,,
University of Zurich,1418,185,766.49,,
Yale University,1460,202,722.77,,
Stanford University,3187,449,709.8,,
University of Wisconsin-Madison,929,133,698.5,,
Harvard University,1329,192,692.19,,
University of Oslo,1182,182,649.45,,
University of North Carolina at Chapel Hill,1125,176,639.2,,
Massachusetts Institute of Technology,1275,201,634.33,,
University of California San Diego,1261,201,627.36,,
Johns Hopkins University,1803,299,603.01,,
University of Amsterdam,1239,218,568.35,,
University of Chicago,1011,196,515.82,,
University of Pennsylvania,1795,357,502.8,,
University of Toronto,2549,518,492.08,,
University of British Columbia,1741,360,483.61,,
University of Washington,2203,482,457.05,,
University of Glasgow,984,216,455.56,,
University of Oxford,4095,927,441.75,,
University of Cambridge,3361,773,434.8,,
University of Minnesota,1545,359,430.36,,
University of Liverpool,909,233,390.13,,
University of Manchester,1190,339,351.03,,
University of Bristol,1160,331,350.45,,
University of Groningen,1090,319,341.69,,
University of Michigan,1637,490,334.08,,
University College London,2248,706,318.41,,
University of Southern California,1123,381,294.75,,
University of Pittsburgh,996,389,256.04,,
University School of Medicine,10979,1,,,
University Hospital,7542,38,,,
College of Medicine,6834,66,,,
University of Science and Technology,5579,4,,,
School of Life Sciences,4964,55,,,
University Medical Center,4638,16,,,
Institute of Technology,4632,0,,,
University of,4146,4,,,
Max Planck Institute,3749,0,,,
College of Life Sciences,3214,19,,,
University of Technology,3176,6,,,
University of Chinese Academy of Sciences,3116,46,,,
College of Veterinary Medicine,2609,21,,,
INSERM,2583,23,,,
University of Medical Sciences,2426,0,,,
University of Tokyo,2319,52,,,
School of Biological Sciences,2307,42,,,
University of Hong Kong,2221,28,,,
University of Chinese Medicine,2130,1,,,
Karolinska Institute,2107,46,,,
University of Queensland,1753,65,,,
Institute of Science and Technology,1582,2,,,
College of Animal Science and Technology,1490,5,,,
School of Medicine at Mount Sinai,1410,0,,,
University of Traditional Chinese Medicine,1398,0,,,
University of Sydney,1320,99,,,
University of Singapore,1310,0,,,
University of Freiburg,1261,75,,,
University College of Medicine,1240,0,,,
Institute of Microbiology,1237,6,,,
Université Paris-Saclay,1230,43,,,
School of Basic Medical Sciences,1224,18,,,
School of Pharmacy,1205,30,,,
Inserm,1182,10,,,
Institute of Botany,1161,2,,,
University of London,1161,38,,,
Center for Disease Control,1152,1,,,
Harvard,1109,2,,,
University Graduate School of Medicine,1109,0,,,
University of Munich,1106,4,,,
University of Bern,1086,94,,,
Cambridge,1063,0,,,
Center for Disease Control and Prevention,1052,1,,,
College of Life Science,1027,7,,,
College of Pharmacy,1026,17,,,
Universidad Nacional Aut,1005,0,,,
Universität Berlin,989,0,,,
School of Psychology,978,46,,,
School of Science,965,11,,,
Institute of Biology,946,6,,,
College of Agriculture,933,2,,,
University of Texas MD Anderson Cancer Center,932,33,,,
School of Pharmaceutical Sciences,922,8,,,
Institute of Zoology,896,2,,,
College of Horticulture,874,13,,,
University of Western Australia,868,40,,,
Oxford,861,1,,,
Universidad Aut,848,0,,,
University of Cologne,834,64,,,
