publisher,count,corpus_total,open_data_pct,ci_low,ci_high
Microbiology Society,1652,3539,46.68,45.04,48.33
Cold Spring Harbor Laboratory Press,3261,7016,46.48,45.31,47.65
"American Society for Microbiology; 1752 N St., N.W., Washington, DC",16414,35956,45.65,45.14,46.17
American Association for Cancer Research,1115,2854,39.07,37.29,40.87
American Society for Clinical Investigation,1814,4680,38.76,37.37,40.17
Cell Press,2095,5617,37.3,36.04,38.57
Genetics Society of America,1076,3000,35.87,34.17,37.6
American Society for Biochemistry and Molecular Biology,2422,6917,35.02,33.9,36.15
"F1000 Research Limited; London, UK",2026,9121,22.21,21.37,23.08
"eLife Sciences Publications, Ltd",3879,17726,21.88,21.28,22.5
Nature Pub. Group,714,3526,20.25,18.96,21.61
Pensoft Publishers,2232,12252,18.22,17.54,18.91
"PeerJ Inc.; San Francisco, USA",846,5757,14.7,13.8,15.63
"PeerJ Inc.; San Diego, USA",2033,15864,12.82,12.3,13.34
Cold Spring Harbor Laboratory,2851,23165,12.31,11.89,12.74
Oxford University Press,13369,117584,11.37,11.19,11.55
Centers for Disease Control and Prevention,2037,19065,10.68,10.25,11.13
"Public Library of Science; San Francisco, USA",14983,141759,10.57,10.41,10.73
National Academy of Sciences,1832,17800,10.29,9.85,10.75
Frontiers Media S.A.,50410,491216,10.26,10.18,10.35
Taylor & Francis,4959,50808,9.76,9.51,10.02
"Public Library of Science; San Francisco, CA USA",22340,235867,9.47,9.35,9.59
Nature Publishing Group UK; London,27254,328186,8.3,8.21,8.4
Oxford University Press; UK,1142,14292,7.99,7.56,8.45
The Royal Society,1041,13689,7.6,7.17,8.06
Elsevier,21464,293536,7.31,7.22,7.41
American Association for the Advancement of Science,1127,15976,7.05,6.67,7.46
Nature Publishing Group,6346,92668,6.85,6.69,7.01
"John Wiley & Sons, Inc.; Hoboken, USA",1082,18387,5.88,5.55,6.23
BioMed Central,9175,161478,5.68,5.57,5.8
Impact Journals LLC,1548,28768,5.38,5.13,5.65
John Wiley and Sons Inc.; Hoboken,12475,254525,4.9,4.82,4.99
BioMed Central; London,22842,481275,4.75,4.69,4.81
Ivyspring International Publisher; Sydney,734,15989,4.59,4.28,4.93
Springer Netherlands; Dordrecht,804,18507,4.34,4.06,4.65
The Royal Society of Chemistry,1759,41145,4.28,4.08,4.47
Springer US; New York,1942,46275,4.2,4.02,4.38
International Union of Crystallography,1367,33050,4.14,3.93,4.36
Springer Berlin Heidelberg; Berlin/Heidelberg,2810,79627,3.53,3.4,3.66
MDPI,28167,872187,3.23,3.19,3.27
Springer International Publishing; Cham,1551,52417,2.96,2.82,3.11
Oxford University Press; US,1832,95199,1.92,1.84,2.01
"Lippincott Williams & Wilkins; Hagerstown, MD",833,48000,1.74,1.62,1.86
The Rockefeller University Press,923,56666,1.63,1.53,1.74
"SAGE Publications; Sage UK: London, England",736,50760,1.45,1.35,1.56
Dove,817,58454,1.4,1.31,1.5
Hindawi Publishing Corporation,990,78180,1.27,1.19,1.35
Hindawi,1159,92746,1.25,1.18,1.32
"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",809,76034,1.06,0.99,1.14
,2987,0,,,
