country,count,corpus_total,open_data_pct,ci_low,ci_high
Chile,752,2117,35.52,33.51,37.59
Czech Republic,1328,4473,29.69,28.37,31.05
Mexico,924,3220,28.7,27.16,30.28
New Zealand,831,3276,25.37,23.91,26.88
China,39346,155728,25.27,25.05,25.48
Argentina,578,2300,25.13,23.4,26.94
Russia,1108,4410,25.12,23.87,26.43
Germany,11723,47094,24.89,24.5,25.29
France,6150,25217,24.39,23.86,24.92
Austria,2010,8565,23.47,22.58,24.38
Norway,1507,6506,23.16,22.15,24.2
Australia,5342,23310,22.92,22.38,23.46
Hungary,571,2511,22.74,21.14,24.42
Brazil,2550,11425,22.32,21.57,23.09
Kenya,305,1382,22.07,19.96,24.33
Denmark,2100,9533,22.03,21.21,22.87
Spain,4599,20942,21.96,21.41,22.53
Colombia,487,2283,21.33,19.7,23.06
Canada,5451,25639,21.26,20.76,21.77
Belgium,1987,9369,21.21,20.39,22.05
Finland,1269,6177,20.54,19.55,21.57
Netherlands,4490,21964,20.44,19.91,20.98
USA,30231,148196,20.4,20.19,20.61
Portugal,1063,5215,20.38,19.31,21.5
Switzerland,3602,18041,19.97,19.39,20.56
Israel,1198,6164,19.44,18.47,20.44
Sweden,3149,16350,19.26,18.66,19.87
UK,13300,70262,18.93,18.64,19.22
Italy,4599,24878,18.49,18.01,18.97
Bangladesh,279,1605,17.38,15.61,19.31
South Africa,976,5620,17.37,16.4,18.38
Ireland,862,4970,17.34,16.32,18.42
Singapore,883,5504,16.04,15.1,17.04
Japan,5336,34139,15.63,15.25,16.02
Poland,1356,8693,15.6,14.85,16.38
Greece,515,3343,15.41,14.22,16.67
Vietnam,310,2042,15.18,13.69,16.8
Thailand,798,5319,15.0,14.07,15.99
India,3225,22947,14.05,13.61,14.51
Slovenia,261,1865,13.99,12.49,15.64
Taiwan,958,7160,13.38,12.61,14.19
Egypt,715,6107,11.71,10.93,12.54
Pakistan,618,5441,11.36,10.54,12.23
Iran,588,5538,10.62,9.83,11.46
Saudi Arabia,980,10474,9.36,8.81,9.93
Indonesia,245,3401,7.2,6.38,8.12
Malaysia,472,6919,6.82,6.25,7.44
South Korea,2140,33932,6.31,6.05,6.57
Turkey,351,7427,4.73,4.27,5.23
Korea,802,0,,,
