journal,year,count
BMC Genomics,2004,10
BMC Genomics,2005,56
BMC Genomics,2006,95
BMC Genomics,2007,162
BMC Genomics,2008,238
BMC Genomics,2009,296
BMC Genomics,2010,381
BMC Genomics,2011,339
BMC Genomics,2012,383
BMC Genomics,2013,496
BMC Genomics,2014,774
BMC Genomics,2015,733
BMC Genomics,2016,450
BMC Genomics,2017,256
BMC Genomics,2018,268
BMC Genomics,2019,281
BMC Genomics,2020,259
BMC Genomics,2021,232
BMC Genomics,2022,202
BMC Genomics,2023,158
BMC Genomics,2024,243
BMC Genomics,2025,125
Data in Brief,2014,11
Data in Brief,2015,77
Data in Brief,2016,148
Data in Brief,2017,100
Data in Brief,2018,187
Data in Brief,2019,287
Data in Brief,2020,494
Data in Brief,2021,412
Data in Brief,2022,547
Data in Brief,2023,504
Data in Brief,2024,540
Data in Brief,2025,180
Frontiers in Genetics,2012,14
Frontiers in Genetics,2013,19
Frontiers in Genetics,2014,39
Frontiers in Genetics,2015,27
Frontiers in Genetics,2016,27
Frontiers in Genetics,2017,38
Frontiers in Genetics,2018,184
Frontiers in Genetics,2019,400
Frontiers in Genetics,2020,670
Frontiers in Genetics,2021,722
Frontiers in Genetics,2022,372
Frontiers in Genetics,2023,177
Frontiers in Genetics,2024,113
Frontiers in Genetics,2025,33
Frontiers in Immunology,2012,5
Frontiers in Immunology,2013,11
Frontiers in Immunology,2014,13
Frontiers in Immunology,2015,12
Frontiers in Immunology,2016,25
Frontiers in Immunology,2017,106
Frontiers in Immunology,2018,207
Frontiers in Immunology,2019,283
Frontiers in Immunology,2020,382
Frontiers in Immunology,2021,941
Frontiers in Immunology,2022,1479
Frontiers in Immunology,2023,1144
Frontiers in Immunology,2024,633
Frontiers in Immunology,2025,127
Frontiers in Microbiology,2011,8
Frontiers in Microbiology,2012,68
Frontiers in Microbiology,2013,90
Frontiers in Microbiology,2014,142
Frontiers in Microbiology,2015,394
Frontiers in Microbiology,2016,682
Frontiers in Microbiology,2017,819
Frontiers in Microbiology,2018,1080
Frontiers in Microbiology,2019,1213
Frontiers in Microbiology,2020,1608
Frontiers in Microbiology,2021,1930
Frontiers in Microbiology,2022,2547
Frontiers in Microbiology,2023,1865
Frontiers in Microbiology,2024,1132
Frontiers in Microbiology,2025,239
Frontiers in Plant Science,2012,14
Frontiers in Plant Science,2013,41
