country,count
China,39346
USA,30231
UK,13300
Germany,11723
France,6150
Canada,5451
Australia,5342
Japan,5336
Spain,4599
Italy,4599
Netherlands,4490
Switzerland,3602
India,3225
Sweden,3149
Brazil,2550
South Korea,2140
Denmark,2100
Austria,2010
Belgium,1987
Norway,1507
Poland,1356
Czech Republic,1328
Finland,1269
Israel,1198
Russia,1108
Portugal,1063
Saudi Arabia,980
South Africa,976
Taiwan,958
Mexico,924
Singapore,883
Ireland,862
New Zealand,831
Korea,802
Thailand,798
Chile,752
Egypt,715
Pakistan,618
Iran,588
Argentina,578
Hungary,571
Greece,515
Colombia,487
Malaysia,472
Turkey,351
Vietnam,310
Kenya,305
Bangladesh,279
Slovenia,261
Indonesia,245
