publisher,count
Frontiers Media S.A.,50410
MDPI,28167
Nature Publishing Group UK; London,27254
BioMed Central; London,22842
"Public Library of Science; San Francisco, CA USA",22340
Elsevier,21464
"American Society for Microbiology; 1752 N St., N.W., Washington, DC",16414
"Public Library of Science; San Francisco, USA",14983
Oxford University Press,13369
John Wiley and Sons Inc.; Hoboken,12475
BioMed Central,9175
Nature Publishing Group,6346
Taylor & Francis,4959
"eLife Sciences Publications, Ltd",3879
Cold Spring Harbor Laboratory Press,3261
,2987
Cold Spring Harbor Laboratory,2851
Springer Berlin Heidelberg; Berlin/Heidelberg,2810
American Society for Biochemistry and Molecular Biology,2422
Pensoft Publishers,2232
Cell Press,2095
Centers for Disease Control and Prevention,2037
"PeerJ Inc.; San Diego, USA",2033
"F1000 Research Limited; London, UK",2026
Springer US; New York,1942
Oxford University Press; US,1832
National Academy of Sciences,1832
American Society for Clinical Investigation,1814
The Royal Society of Chemistry,1759
Microbiology Society,1652
Springer International Publishing; Cham,1551
Impact Journals LLC,1548
International Union of Crystallography,1367
Hindawi,1159
Oxford University Press; UK,1142
American Association for the Advancement of Science,1127
American Association for Cancer Research,1115
"John Wiley & Sons, Inc.; Hoboken, USA",1082
Genetics Society of America,1076
The Royal Society,1041
Hindawi Publishing Corporation,990
The Rockefeller University Press,923
"PeerJ Inc.; San Francisco, USA",846
"Lippincott Williams & Wilkins; Hagerstown, MD",833
Dove,817
"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",809
Springer Netherlands; Dordrecht,804
"SAGE Publications; Sage UK: London, England",736
Ivyspring International Publisher; Sydney,734
Nature Pub. Group,714
